reel_cloumn1,8;5;3;6;6;2;8;8;4;7;2;9;8;4;0;2;6;2;4;5;6;0;1;9;1;5;2;5;10;10;7;3;2;10;9;3;7;9;8;0;4;2;4;8;5;10;0;8;7;2;0;9;90;2;9;10;0;4;1;10;0;1;3;3;3;6;10;10;4;3;4;1;5;6;1;4;0;3;3;5;7;0;4;90;7;0;9;6;4;2;3;7;8;1;1;6;3;10;5;9;7;5;9;5;92;9;10;0;3;5;0;8;7;2;0;0;1;7;0;6;3;4;8;1;6,
reel_cloumn2,10;92;8;10;9;8;1;2;3;92;9;2;1;8;4;9;8;10;9;8;3;9;10;3;4;4;4;7;5;10;1;7;5;90;3;10;9;0;10;90;4;5;10;0;90;4;8;6;6;6;3;0;10;8;5;3;3;10;9;3;6;6;4;5;3;8;8;9;92;7;9;10;8;9;92;7;10;8;9;3;1;10;0;92;5;8;10;4;9;7;90;0;2;10;2;10;2;90;3;6;92;1;9;90;9;8;3;3;90;4;8;9;9;3;4;8;4;4;10;3;4;0;8;8;4,
reel_cloumn3,2;2;7;7;3;6;5;5;92;1;8;4;7;92;3;6;1;6;7;8;7;5;90;8;6;8;6;6;1;5;0;2;1;1;0;90;6;7;9;90;7;1;90;1;8;6;0;92;2;5;9;9;4;6;5;7;5;3;2;7;5;1;2;5;7;3;7;2;92;0;6;7;2;5;7;1;90;9;7;6;1;1;1;2;2;5;0;1;2;10;10;5;5;3;7;4;6;6;6;92;6;9;1;10;92;4;1;5;5;7;6;4;5;2;5;7;1;6;6;90;5;10;2;2;10,
reel_cloumn4,3;3;9;2;1;2;5;10;6;6;6;5;5;6;2;90;92;5;4;10;92;0;5;2;92;5;0;8;3;6;1;7;3;4;4;6;7;9;9;90;1;8;90;10;2;2;0;6;4;92;9;9;0;10;4;6;3;5;2;6;8;10;1;1;7;1;4;2;10;5;7;0;0;3;7;7;3;7;8;1;0;5;9;90;2;10;9;92;10;0;0;3;6;92;10;9;1;0;3;2;7;2;90;8;9;1;8;8;8;0;1;90;4;10;3;5;8;4;7;92;7;8;1;9;4,
reel_cloumn5,10;3;0;1;7;92;3;10;0;0;10;2;2;4;92;6;9;4;0;8;6;1;2;5;7;2;3;6;5;5;10;0;1;7;2;9;8;3;1;1;5;4;92;8;10;3;8;4;6;8;90;10;4;1;5;3;6;7;92;2;9;9;5;9;7;4;9;4;5;2;10;8;10;8;1;7;4;5;9;1;3;7;4;3;3;0;6;1;8;2;1;7;0;92;0;3;2;6;8;8;7;4;2;4;10;6;92;9;9;6;6;9;6;0;92;90;7;0;5;0;3;5;7;5;0,

freespinModeId_0_1,8;5;3;6;6;2;8;8;4;7;2;9;8;4;90;2;6;2;4;5;6;0;1;9;1;92;2;5;10;10;7;3;2;10;9;3;7;9;8;90;4;2;4;8;5;10;0;8;7;0;0;9;0;2;9;10;0;4;1;10;90;1;3;3;3;6;10;10;4;3;4;1;5;6;1;4;0;3;3;5;7;0;4;90;7;0;9;6;4;2;3;7;8;1;1;6;3;10;5;9;7;5;9;5;92;9;10;0;3;5;0;8;7;2;0;0;1;7;0;6;3;4;8;1;6,
freespinModeId_0_2,10;92;8;10;9;8;1;2;3;92;9;2;1;8;4;9;8;10;9;8;3;9;10;3;4;4;4;7;5;10;1;7;8;90;3;10;9;9;10;3;4;5;10;0;4;4;8;6;6;6;3;0;10;8;5;3;3;10;9;3;9;6;4;5;3;8;8;9;92;7;9;10;8;9;92;7;10;8;9;3;1;10;0;92;5;8;10;4;9;7;90;0;2;10;2;10;2;90;3;6;92;1;9;90;9;8;3;3;90;4;8;9;9;3;4;8;4;4;10;3;4;0;8;8;4,
freespinModeId_0_3,2;2;7;7;3;6;5;5;92;1;8;4;7;92;3;6;1;6;7;8;7;5;90;8;6;8;6;6;1;5;0;2;1;1;0;90;6;7;9;90;7;1;2;1;8;6;0;92;2;5;9;9;4;6;5;7;5;3;2;7;5;1;2;5;7;3;7;2;92;0;6;7;2;5;7;1;90;9;7;6;1;1;1;2;2;5;0;1;2;10;10;5;5;3;7;4;6;6;6;92;6;9;1;10;92;4;1;5;5;7;6;4;5;2;5;7;1;6;6;90;5;10;2;2;10,
freespinModeId_0_4,3;3;9;2;1;2;5;10;6;6;6;5;5;6;2;90;92;5;4;10;92;0;5;2;92;5;0;8;3;6;1;7;3;4;4;6;7;9;9;4;1;8;90;10;2;2;0;6;4;92;9;9;0;10;4;6;3;5;2;6;8;10;1;1;7;1;4;2;10;5;7;0;0;3;7;7;3;7;8;1;0;5;9;90;2;10;9;92;10;0;0;3;6;92;10;9;1;0;3;2;7;2;90;8;9;1;8;8;8;0;1;90;4;10;3;5;8;4;7;92;7;8;1;9;4,
freespinModeId_0_5,10;3;0;1;7;92;3;10;0;0;10;2;2;4;92;6;9;4;0;8;6;1;2;5;7;2;3;6;5;5;10;0;1;7;2;9;8;3;1;1;5;4;92;8;10;3;8;4;6;8;10;10;4;1;5;3;6;7;92;2;9;9;5;9;7;4;9;4;5;2;10;8;10;8;1;7;4;5;9;1;3;7;4;3;3;90;6;1;8;2;1;7;0;92;90;3;2;6;8;8;7;4;2;4;10;6;92;9;9;6;6;9;6;0;92;90;7;0;5;0;3;5;7;5;0,

Socre_Alice_1,#Symbol/Alice_L2.png;0;0;0.5,
Socre_Alice_2,#Symbol/Alice_L1.png;0;0;0.5,
Socre_Alice_3,#Symbol/Alice_M4.png;0;0;0.5,
Socre_Alice_4,#Symbol/Alice_M3.png;0;0;0.5,
Socre_Alice_5,#Symbol/Alice_M2.png;0;0;0.5,
Socre_Alice_6,#Symbol/Alice_M1.png;0;0;0.5,
Socre_Alice_7,#Symbol/Alice_H3.png;0;0;0.5,
Socre_Alice_8,#Symbol/Alice_H2.png;0;0;0.5,
Socre_Alice_9,#Symbol/Alice_H1.png;0;0;0.5,
Socre_Alice_10,#Symbol/Alice_L3.png;0;0;0.5,
Socre_Alice_11,#Symbol/Alice_L4.png;0;0;0.5,
Socre_Alice_Scatter,#Symbol/Alice_scatter.png;0;0;0.5,
Socre_Alice_Wild,#Symbol/Alice_wild.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_92,idleframe-false

isAllLineType,0
lineCount,40
columnNum,5
rowNum,3
scatterShowCol,1;2;3;4;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameAlice_run
quickStopDelayTime,0
reelMoveSpeed,1920
reelResTime,0.15
reelDownTime,0.1
reelResDis,20
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,AliceSounds/music_Alice_normal_bg.mp3
musicFsBg,AliceSounds/music_Alice_fs_bg.mp3
musicReSpinBg,AliceSounds/
soundScatterTip,AliceSounds/sound_Alice_trigger_fs.mp3
soundBonusTip,AliceSounds/
soundReelDown,AliceSounds/sound_Alice_reel_down.mp3
commonSoundReelDown,Sounds/CommonReelDown_6.mp3
randomSmallSymbolNum,
showScoreImage,1


fsReelMoveSpeed,2112
fsReelRunDatas,17;21;25;29;33
