reel_cloumn1,100;101;100;103;100;102;100;104;100;102;100;103;100;102;100;104;100;101;100;103;100;102;100;104,


freespinModeId_0_1,100;101;100;103;100;102;100;104;100;102;100;103;100;102;100;104;100;101;100;103;100;102;100;104,


Normal_Reel_1,100-1;101-1;100-1;103-1;100-1;102-1;100-1;104-1;100-1;102-1;100-1;103-1;100-1;102-1;100-1;104-1;100-1;101-1;100-1;103-1;100-1;102-1;100-1;104-1,

FreeSpin_Reel_1,100-1;101-1;100-1;103-1;100-1;102-1;100-1;104-1;100-1;102-1;100-1;103-1;100-1;102-1;100-1;104-1;100-1;101-1;100-1;103-1;100-1;102-1;100-1;104-1,



Socre_BeerGirl_10,#Symbol/BeerGirl_10.png;0;0;0.5,
Socre_BeerGirl_11,#Symbol/BeerGirl_11.png;0;0;0.5,
Socre_BeerGirl_12,#Symbol/BeerGirl_12.png;0;0;0.5,
Socre_BeerGirl_1,#Symbol/BeerGirl_1.png;0;0;0.5,
Socre_BeerGirl_2,#Symbol/BeerGirl_2.png;0;0;0.5,
Socre_BeerGirl_3,#Symbol/BeerGirl_3.png;0;0;0.5,
Socre_BeerGirl_4,#Symbol/BeerGirl_4.png;0;0;0.5,
Socre_BeerGirl_5,#Symbol/BeerGirl_5.png;0;0;0.5,
Socre_BeerGirl_6,#Symbol/BeerGirl_6.png;0;0;0.5,
Socre_BeerGirl_7,#Symbol/BeerGirl_7.png;0;0;0.5,
Socre_BeerGirl_8,#Symbol/BeerGirl_8.png;0;0;0.5,
Socre_BeerGirl_9,#Symbol/Socre_BeerGirl_9.png;0;159;0.5,
Socre_BeerGirl_Scatter,#Symbol/Socre_BeerGirl_Scatter.png;0;0;0.5,

Socre_BeerGirl_grand,#Symbol/jackpot_4.png;0;0;0.5,
Socre_BeerGirl_major,#Symbol/jackpot_3.png;0;0;0.5,
Socre_BeerGirl_minor,#Symbol/jackpot_2.png;0;0;0.5,
Socre_BeerGirl_mini,#Symbol/jackpot_1.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_90,idleframe-true

isAllLineType,0
lineCount,1
columnNum,1
rowNum,5
scatterShowCol,2;3;4
reelWidth,1300
reelHeight,620
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,31
reelEffectRes,LongRunFrameBeerGirl_run
quickStopDelayTime,0
reelMoveSpeed,1696
reelResTime,0.15
reelDownTime,0.1
reelResDis,17
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
randomSmallSymbolNum,12
showScoreImage,1
bigSymbolTypeCounts,0-4

fsReelMoveSpeed,1865
fsReelRunDatas,35

