

reel_cloumn1,123;123;123;123;123;123
reel_cloumn2,123;123;123;123;123;123
reel_cloumn3,123;123;123;123;123;123
reel_cloumn4,123;123;123;123;123;123
reel_cloumn5,123;123;123;123;123;123
reel_cloumn6,123;123;123;123;123;123
reel_cloumn7,123;123;123;123;123;123
reel_cloumn8,123;123;123;123;123;123

Socre_BombPurrglar_blue,#symbol/Socre_Bomb_Purrglar_blue.png;0;0;0.5,
Socre_BombPurrglar_bonus_3,#symbol/Socre_Bomb_Purrglar_bomb3.png;0;0;0.5,


SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_4,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_95,idleframe-false
SpineSymbol_96,idleframe-false
SpineSymbol_97,idleframe-false

isAllLineType,0
lineCount,80
columnNum,8
rowNum,3
reelWidth,1240
reelHeight,600
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28;31;34;37
quickStopDelayTime,0
reelMoveSpeed,2986
reelResTime,0.15
reelDownTime,0.1
reelResDis,31
reelLongRunSpeed,4000
reelLongRunTime,2
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
soundReelDown,Sounds/CommonReelDown_6.mp3
showScoreImage,1
showLinesTime,2
fsReelMoveSpeed,3285
fsReelRunDatas,17;21;25;29;33;37;41;45
