reel_cloumn1,10;4;92;8;9;0;8;9;4;10;3;8;9;2;3;90;6;10;3;9;4;7;2;9;3;5;9;3;7;1;10;3;0;8;6;0;9;6;4;9;3;7;9;1;3;8;9;9;3;9;3;8;2;90;3;8;5;3;7;1,
reel_cloumn2,9;4;92;8;6;4;5;8;2;9;92;7;9;2;4;90;7;10;3;8;4;5;2;9;3;8;92;3;7;1;9;4;3;8;6;0;9;6;2;9;92;7;9;1;4;8;7;10;0;5;4;5;2;90;3;7;9;0;7;1,
reel_cloumn3,9;4;92;8;6;2;5;6;2;10;4;7;9;2;3;90;2;9;3;5;4;5;92;10;3;8;9;3;7;1;9;4;0;8;6;0;10;6;2;9;4;7;9;1;8;9;2;10;0;5;4;5;2;90;3;8;9;3;7;3;9;4;92;8;6;3;90;6;2;10;4;92;9;1;4;5;2;10;0;5;4;5;92;10;3;8;9;3;7;1;9;4;92;8;6;0;8;6;2;10;92;7;9;1;8;9;2;10;0;5;4;5;2;10;3;8;9;3;7;1,
reel_cloumn4,9;4;92;8;6;3;5;6;3;10;92;7;9;2;4;90;2;10;3;5;4;5;3;9;3;8;9;3;7;1;9;4;0;8;6;0;9;6;2;10;92;7;9;1;4;5;2;9;0;5;4;5;2;90;3;8;9;3;7;1,
reel_cloumn5,9;4;92;8;9;0;5;6;2;92;3;7;9;2;4;90;2;10;3;92;4;5;2;92;3;8;1;9;4;92;8;6;3;90;6;2;92;3;7;9;1;4;5;2;10;0;5;4;5;2;0;3;9;1,


freespinModeId_0_1,9;4;92;8;6;0;9;6;2;9;3;7;9;1;94;94;94;10;0;2;4;8;2;10;3;8;5;3;7;1;8;5;3;7;1,
freespinModeId_0_2,9;4;92;8;6;0;9;6;2;9;92;7;9;1;94;94;94;10;0;2;4;8;2;10;3;8;5;3;7;1;8;5;3;7;1,
freespinModeId_0_3,9;4;92;8;6;0;9;6;2;9;92;7;9;1;94;94;94;10;0;2;4;8;2;10;3;8;5;3;7;1;8;5;3;7;1,
freespinModeId_0_4,9;4;92;8;6;0;9;6;2;9;92;7;9;1;94;94;94;10;0;92;4;8;2;10;3;8;5;3;92;1;8;5;3;7;1,
freespinModeId_0_5,9;4;92;8;6;0;9;6;2;9;92;7;9;1;94;94;94;10;0;92;4;8;2;10;3;8;5;3;92;1;8;5;3;7;1,


Normal_Reel_1,10-1;4-1;92-1;8-1;9-1;0-1;8-1;9-1;4-1;10-1;3-1;8-1;9-1;2-1;3-1;90-1;6-1;10-1;3-1;9-1;4-1;7-1;2-1;9-1;3-1;5-1;9-1;3-1;7-1;1-1;10-1;3-1;0-1;8-1;6-1;0-1;9-1;6-1;4-1;9-1;3-1;7-1;9-1;1-1;3-1;8-1;9-1;9-1;3-1;9-1;3-1;8-1;2-1;90-1;3-1;8-1;5-1;3-1;7-1;1-1,
Normal_Reel_2,9-1;4-1;92-1;8-1;6-1;4-1;5-1;8-1;2-1;9-1;92-1;7-1;9-1;2-1;4-1;90-1;7-1;10-1;3-1;8-1;4-1;5-1;2-1;9-1;3-1;8-1;92-1;3-1;7-1;1-1;9-1;4-1;3-1;8-1;6-1;0-1;9-1;6-1;2-1;9-1;92-1;7-1;9-1;1-1;4-1;8-1;7-1;10-1;0-1;5-1;4-1;5-1;2-1;90-1;3-1;7-1;9-1;0-1;7-1;1-1,
Normal_Reel_3,9-1;4-1;92-1;8-1;6-1;2-1;5-1;6-1;2-1;10-1;4-1;7-1;9-1;2-1;3-1;90-1;2-1;9-1;3-1;5-1;4-1;5-1;92-1;10-1;3-1;8-1;9-1;3-1;7-1;1-1;9-1;4-1;0-1;8-1;6-1;0-1;10-1;6-1;2-1;9-1;4-1;7-1;9-1;1-1;8-1;9-1;2-1;10-1;0-1;5-1;4-1;5-1;2-1;90-1;3-1;8-1;9-1;3-1;7-1;3-1;9-1;4-1;92-1;8-1;6-1;3-1;90-1;6-1;2-1;10-1;4-1;92-1;9-1;1-1;4-1;5-1;2-1;10-1;0-1;5-1;4-1;5-1;92-1;10-1;3-1;8-1;9-1;3-1;7-1;1-1;9-1;4-1;92-1;8-1;6-1;0-1;8-1;6-1;2-1;10-1;92-1;7-1;9-1;1-1;8-1;9-1;2-1;10-1;0-1;5-1;4-1;5-1;2-1;10-1;3-1;8-1;9-1;3-1;7-1;1-1,
Normal_Reel_4,9-1;4-1;92-1;8-1;6-1;3-1;5-1;6-1;3-1;10-1;92-1;7-1;9-1;2-1;4-1;90-1;2-1;10-1;3-1;5-1;4-1;5-1;3-1;9-1;3-1;8-1;9-1;3-1;7-1;1-1;9-1;4-1;0-1;8-1;6-1;0-1;9-1;6-1;2-1;10-1;92-1;7-1;9-1;1-1;4-1;5-1;2-1;9-1;0-1;5-1;4-1;5-1;2-1;90-1;3-1;8-1;9-1;3-1;7-1;1-1,
Normal_Reel_5,9-1;4-1;92-1;8-1;9-1;0-1;5-1;6-1;2-1;92-1;3-1;7-1;9-1;2-1;4-1;90-1;2-1;10-1;3-1;92-1;4-1;5-1;2-1;92-1;3-1;8-1;1-1;9-1;4-1;92-1;8-1;6-1;3-1;90-1;6-1;2-1;92-1;3-1;7-1;9-1;1-1;4-1;5-1;2-1;10-1;0-1;5-1;4-1;5-1;2-1;0-1;3-1;9-1;1-1,

FreeSpin_Reel_1,9-1;4-1;92-1;8-1;6-1;0-1;9-1;6-1;2-1;9-1;3-1;7-1;9-1;1-1;94-1;94-1;94-1;10-1;0-1;2-1;4-1;8-1;2-1;10-1;3-1;8-1;5-1;3-1;7-1;1-1;8-1;5-1;3-1;7-1;1-1,
FreeSpin_Reel_2,9-1;4-1;92-1;8-1;6-1;0-1;9-1;6-1;2-1;9-1;92-1;7-1;9-1;1-1;94-1;94-1;94-1;10-1;0-1;2-1;4-1;8-1;2-1;10-1;3-1;8-1;5-1;3-1;7-1;1-1;8-1;5-1;3-1;7-1;1-1,
FreeSpin_Reel_3,9-1;4-1;92-1;8-1;6-1;0-1;9-1;6-1;2-1;9-1;92-1;7-1;9-1;1-1;94-1;94-1;94-1;10-1;0-1;2-1;4-1;8-1;2-1;10-1;3-1;8-1;5-1;3-1;7-1;1-1;8-1;5-1;3-1;7-1;1-1,
FreeSpin_Reel_4,9-1;4-1;92-1;8-1;6-1;0-1;9-1;6-1;2-1;9-1;92-1;7-1;9-1;1-1;94-1;94-1;94-1;10-1;0-1;92-1;4-1;8-1;2-1;10-1;3-1;8-1;5-1;3-1;92-1;1-1;8-1;5-1;3-1;7-1;1-1,
FreeSpin_Reel_5,9-1;4-1;92-1;8-1;6-1;0-1;9-1;6-1;2-1;9-1;92-1;7-1;9-1;1-1;94-1;94-1;94-1;10-1;0-1;92-1;4-1;8-1;2-1;10-1;3-1;8-1;5-1;3-1;92-1;1-1;8-1;5-1;3-1;7-1;1-1,



Socre_BuffaloWild_1,#Symbol/Buffalo_M9.png
Socre_BuffaloWild_2,#Symbol/Buffalo_M8.png
Socre_BuffaloWild_3,#Symbol/Buffalo_M7.png
Socre_BuffaloWild_4,#Symbol/Buffalo_M6.png
Socre_BuffaloWild_5,#Symbol/Buffalo_M5.png
Socre_BuffaloWild_6,#Symbol/Buffalo_M4.png
Socre_BuffaloWild_7,#Symbol/Buffalo_M3.png
Socre_BuffaloWild_8,#Symbol/Buffalo_M2.png
Socre_BuffaloWild_9,#Symbol/Buffalo_M1.png;0;0;0.5,
Socre_BuffaloWild_10,#Symbol/Buffalo_M10.png
Socre_BuffaloWild_11,#Symbol/Buffalo_M11.png
Socre_BuffaloWild_Scatter,#Symbol/Buffalo_Scatter.png
Socre_BuffaloWild_Wild,#Symbol/Buffalo_Wild.png
Socre_BuffaloWild_Bonus,#Symbol/Buffalo_Bonus.png

SpineSymbol_0,idleframe-false
SpineSymbol_90,idleframe-false

isAllLineType,0
lineCount,25
columnNum,5
rowNum,3
scatterShowCol,1;2;3;4;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;18;21;24;27
reelEffectRes,WinFrameBuffaloWild_run
quickStopDelayTime,0
reelMoveSpeed,1740
reelResTime,0.15
reelDownTime,0.1
reelResDis,19
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,BuffaloWildSounds/music_buffalo_wild_bgm.mp3
musicFsBg,BuffaloWildSounds/music_buffalo_wild_fs_bgm.mp3
musicReSpinBg,BuffaloWildSounds/
soundScatterTip,BuffaloWildSounds/sound_buffalo_wild_scatter.mp3
soundBonusTips,BuffaloWildSounds/
soundReelDown,BuffaloWildSounds/sound_buffalo_wild_reel_stop.mp3
commonSoundReelDown,Sounds/CommonReelDown_3.mp3
randomSmallSymbolNum,11
showScoreImage,1
showLinesTime,3

fsReelMoveSpeed,1914
fsReelRunDatas,16;19;22;25;28
