reel_cloumn1,5;2;2;0;0;0;2;4;1;1;1;7;3;3;3;90;94;94;94;94;94;6;8;3;3;1;1;2;2;0;0;6;8;4;5;4;7;90;6;2;5;6;4;7;1;90;1;8;6;7;5;3;0;92;7;8;4;5;0;2;0;7;6;0;90;1;4;8;2;5;3;3;92;2;8;4;94;94;94;94;94;94;94;94;92;92,
reel_cloumn2,5;2;2;0;0;0;2;4;1;1;1;7;3;3;3;90;94;94;94;94;94;6;8;3;3;1;1;2;2;0;0;6;8;2;5;4;7;90;6;5;7;7;0;4;4;0;6;90;0;2;3;5;1;92;7;1;8;0;6;2;6;7;8;4;3;4;5;2;8;2;1;1;92;8;90;5;94;94;94;94;94;94;94;94;92;92,
reel_cloumn3,5;2;2;0;0;0;2;4;1;1;1;7;3;3;3;90;94;94;94;94;94;6;8;3;3;1;1;2;2;0;0;6;8;5;5;4;7;90;7;5;3;0;2;1;6;0;90;3;1;90;8;5;4;92;2;0;1;5;8;1;7;4;0;6;6;3;7;7;2;5;8;6;92;4;2;4;94;94;94;94;94;94;94;94;92;92,
reel_cloumn4,5;2;2;0;0;0;2;4;1;1;1;7;3;3;3;90;94;94;94;94;94;6;8;3;3;1;1;2;2;0;0;6;8;2;5;4;7;90;7;2;1;1;2;90;7;5;4;5;92;3;0;6;3;6;7;2;0;1;90;0;8;1;6;8;0;4;92;8;5;8;5;3;4;4;2;3;94;94;94;94;94;94;94;94;92;92,
reel_cloumn5,5;2;2;0;0;2;2;4;1;1;1;7;3;3;3;90;94;94;94;94;94;6;8;3;3;1;1;2;2;0;0;6;8;3;5;4;7;90;6;2;5;6;4;7;1;90;1;8;6;7;5;3;0;92;7;8;4;5;0;2;0;7;6;0;90;1;4;8;2;5;3;3;92;2;8;4;94;94;94;94;94;94;94;94;92;92,

freespinModeId_0_1,5;2;2;2;0;92;92;92;1;1;1;92;92;7;3;3;3;90;7;94;94;94;94;94;4;6;8;3;3;6;1;6;2;5;6;1;94;94;94;94;5;8;2;2;0;0;4;90;4;7;1;90;1;8;6;7;5;3;92;92;92;8;90;4;94;94;94;94;5;0;2;0;92;92;92;7;6;0;94;94;94;94;1;4;8;92;92;92;3;3;2;8;4;94;94;94;94,
freespinModeId_0_2,5;2;2;2;6;92;92;92;3;3;3;92;92;5;90;4;1;1;8;94;94;94;94;94;3;3;4;1;1;1;7;6;5;7;7;8;94;94;94;94;2;2;0;0;6;2;7;90;0;4;4;0;6;90;0;2;3;5;92;92;92;1;3;8;94;94;94;94;0;6;2;6;92;92;92;7;8;4;94;94;94;94;4;5;2;92;92;92;1;1;8;90;5;94;94;94;94,
freespinModeId_0_3,5;8;5;5;4;92;92;92;1;1;7;2;2;0;0;3;3;3;90;94;94;94;94;94;2;2;2;0;0;0;6;7;5;3;0;8;94;94;94;94;3;3;1;1;6;4;7;90;2;1;6;0;90;3;1;90;8;5;92;92;92;0;6;1;94;94;94;94;5;8;1;7;92;92;92;4;0;6;94;94;94;94;3;7;7;92;92;92;8;6;4;2;4;94;94;94;94,
freespinModeId_0_4,0;0;0;4;1;92;92;92;92;7;3;3;3;90;6;8;94;94;94;94;94;5;2;2;2;6;8;3;3;1;1;7;2;1;1;2;94;94;94;94;2;0;0;2;5;4;7;902;90;7;5;4;5;92;3;0;6;92;92;92;2;0;0;94;94;94;94;1;90;0;8;92;92;92;1;6;8;94;94;94;94;4;92;8;92;92;92;5;3;4;2;3;94;94;94;94,
freespinModeId_0_5,5;2;2;2;94;94;94;94;94;0;0;92;92;92;1;2;2;92;92;1;1;1;7;3;3;3;90;6;8;3;3;6;2;5;6;0;94;94;94;94;0;6;8;3;5;4;7;90;4;7;1;90;1;8;6;7;5;3;92;92;92;8;90;4;94;94;94;94;5;0;2;0;92;92;92;7;6;0;94;94;94;94;1;4;8;92;92;92;3;3;2;8;4;94;94;94;94,

Socre_CandyPusher_1,#Symbol/CandyPusher_L5.png;0;0;0.5,
Socre_CandyPusher_2,#Symbol/CandyPusher_L4.png;0;0;0.5,
Socre_CandyPusher_3,#Symbol/CandyPusher_L3.png;0;0;0.5,
Socre_CandyPusher_4,#Symbol/CandyPusher_L2.png;0;0;0.5,
Socre_CandyPusher_5,#Symbol/CandyPusher_L1.png;0;0;0.5,
Socre_CandyPusher_6,#Symbol/CandyPusher_h4.png;0;0;0.5,
Socre_CandyPusher_7,#Symbol/CandyPusher_h3.png;0;0;0.5,
Socre_CandyPusher_8,#Symbol/CandyPusher_h2.png;0;0;0.5,
Socre_CandyPusher_9,#Symbol/CandyPusher_h1.png;0;0;0.5,

Socre_CandyPusher_Wild,#Symbol/CandyPusher_wild.png;0;0;0.5,
Socre_CandyPusher_Scatter,#Symbol/CandyPusher_scatter.png;0;0;0.5,


SpineSymbol_92,idleframe-false
SpineSymbol_90,idleframe-true
SpineSymbol_0,idleframe-false-CandyPusher_jackpot_tanban
SpineSymbol_1,idleframe-false-CandyPusher_jackpot_tanban
SpineSymbol_2,idleframe-false-CandyPusher_jackpot_tanban
SpineSymbol_3,idleframe-false-CandyPusher_jackpot_tanban


init_reel1,94;94;94;94
init_reel2,0;0;0;0
init_reel3,92;92;92;92
init_reel4,0;0;0;0
init_reel5,94;94;94;94

isAllLineType,1
lineCount,50
columnNum,5
rowNum,4
reelWidth,768
reelHeight,920
scatterShowCol,1;2;3;4;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;18;21;24;27
reelEffectRes,WinFrameCandyPusher_run
reelBgEffectRes,WinFrameCandyPusher_run_bg
quickStopDelayTime,0
reelMoveSpeed,1500
reelResTime,0.3
reelDownTime,0.1
reelResDis,16
reelLongRunSpeed,4000
reelLongRunTime,2.5
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,CandyPusherSounds/music_CandyPusher_BaseBG.mp3
musicFsBg,CandyPusherSounds/music_CandyPusher_freeBG.mp3
soundReelDown,CandyPusherSounds/CandyPusherReelStop.mp3
soundScatterTip,CandyPusherSounds/sound_CandyPusher_scatter_tip.mp3
showScoreImage,1
showLinesTime,2
specialSymbolList,90,94

fsReelRunDatas,16;19;22;25;28	
fsReelMoveSpeed,1650

