reel_cloumn1,3;6;7;3;4;11;11;6;3;94;94;7;7;6;11;7;10;11;3;3;3;10;6;6;9;0;7;9;6;6;7;10;0;7;10;94;94;94;7;7;9;0;0;4;7;10;3;9;6;0;11;2;4;6;3;8;5;7;9;4;3;4;7;8;3;3;10;7;6;0;4;10;10;2;8;6;0;9;8;5;9;8;4;4;7;11;10;10;94;94;8;4;5;11;6;3;4;11;8;1;11;4;8;7;1;0;5;9;11;4;10;10;9;11;11;0;9;9;9;94;94;5;6;6;1;1;10;8;9;10;10;2;2;94;1;4;11;8;8;5;11;8;8;1;7;6;9;9;94;94;2;5;8;1;1;1;1;0;11;2;11;8;5;2;2;2;10;9;5;9;0;8;2;94;9;7;1;2;4;2;9;3;5;5;2;2;9;9;2;2;1;94;2;4;8;9;1;10;0;7,
reel_cloumn2,6;3;7;3;1;7;11;6;92;6;10;0;7;94;0;7;10;11;92;3;10;3;6;0;0;0;9;94;94;94;9;10;7;7;11;6;10;3;3;3;2;92;6;1;7;10;7;3;6;2;11;11;94;94;6;7;6;5;9;4;4;3;4;8;8;1;10;92;6;0;4;10;11;11;11;6;0;8;6;0;6;6;8;92;7;11;10;9;11;1;4;5;11;11;3;7;1;7;7;94;94;4;8;9;1;0;10;5;11;10;4;10;92;4;4;4;9;9;8;11;10;10;5;6;1;9;9;94;3;3;4;2;2;1;4;10;0;4;4;92;8;3;3;3;7;6;9;9;2;2;2;6;5;7;1;1;1;4;92;2;8;8;9;8;2;10;10;9;94;5;0;8;2;10;9;7;1;4;4;2;9;8;7;92;2;2;9;5;2;8;1;8;2;8;8;9;94;10;0;7,
reel_cloumn3,3;3;3;94;4;7;10;6;3;0;7;7;92;92;11;7;10;11;3;3;3;10;6;0;9;0;94;94;94;6;9;10;7;92;11;6;10;0;7;7;11;0;4;11;11;11;7;9;3;0;3;92;92;6;3;6;10;7;5;4;4;3;4;8;92;1;10;92;92;0;7;10;11;6;8;6;0;0;9;5;6;6;6;92;92;6;0;9;11;1;5;1;11;11;3;4;1;7;8;1;11;4;8;9;1;0;10;4;11;10;10;4;6;8;8;94;94;9;8;11;10;10;6;5;1;7;7;8;9;92;92;2;2;1;4;10;1;94;8;2;0;8;8;1;7;6;6;94;94;2;2;2;8;5;1;1;1;11;92;2;10;8;10;0;2;10;10;9;8;94;5;8;2;10;9;7;1;92;4;2;9;8;7;92;2;2;5;9;2;2;1;94;94;2;8;9;1;10;0;7,
reel_cloumn4,3;6;7;92;8;11;10;3;3;3;92;8;11;6;11;5;10;11;92;3;10;3;6;0;9;0;9;7;6;92;9;10;6;7;94;94;94;0;7;7;11;0;8;1;92;10;7;3;4;4;3;3;1;3;8;8;8;5;9;4;4;3;4;8;92;1;10;7;6;92;92;10;7;7;8;6;0;9;5;9;6;1;92;1;7;4;10;9;11;5;6;1;11;11;3;4;4;94;94;1;11;8;4;92;1;3;10;4;11;10;4;10;92;8;0;0;11;94;94;11;10;10;6;6;5;7;7;8;9;92;92;2;2;1;4;8;94;8;5;7;7;8;8;92;3;3;3;9;2;2;92;92;8;10;5;1;1;11;92;2;9;8;9;9;2;9;9;9;8;9;0;5;2;10;9;7;1;92;4;2;9;9;7;92;2;2;9;94;94;9;1;8;8;6;8;9;1;10;0;7,
reel_cloumn5,6;3;7;6;6;7;92;6;3;0;7;7;10;10;11;92;5;11;11;3;3;10;6;10;0;7;7;92;92;92;9;10;6;6;6;6;10;92;7;7;11;11;11;11;7;10;3;9;4;4;11;92;1;6;3;6;5;7;9;4;3;7;4;8;92;3;4;7;6;0;0;10;10;10;8;6;0;9;9;9;6;1;1;94;94;94;10;9;5;1;6;1;11;11;6;3;92;8;8;1;1;8;8;94;94;0;3;4;11;4;10;10;92;92;0;0;9;92;92;11;10;10;6;6;94;5;7;8;9;92;92;2;2;1;4;92;92;8;8;7;7;8;8;92;92;92;9;9;2;2;92;92;8;10;1;5;1;11;92;2;1;8;9;1;2;94;10;9;8;9;0;8;5;10;9;7;1;92;11;2;9;9;7;92;2;2;9;9;2;1;1;8;94;8;8;9;1;10;0;7,

init_reel1,5;5;5,
init_reel2,5;94;5,
init_reel3,5;94;5,
init_reel4,5;94;5,
init_reel5,5;5;5,

Socre_CashOrConk_1,#CashOrConkSymbol/Socre_CashOrConk_1.png;0;0;0.5,
Socre_CashOrConk_2,#CashOrConkSymbol/Socre_CashOrConk_2.png;0;0;0.5,
Socre_CashOrConk_3,#CashOrConkSymbol/Socre_CashOrConk_3.png;0;0;0.5,
Socre_CashOrConk_4,#CashOrConkSymbol/Socre_CashOrConk_4.png;0;0;0.5,
Socre_CashOrConk_5,#CashOrConkSymbol/Socre_CashOrConk_5.png;0;0;0.5,
Socre_CashOrConk_6,#CashOrConkSymbol/Socre_CashOrConk_6.png;0;0;0.5,
Socre_CashOrConk_7,#CashOrConkSymbol/Socre_CashOrConk_7.png;0;0;0.5,
Socre_CashOrConk_8,#CashOrConkSymbol/Socre_CashOrConk_8.png;0;0;0.5,
Socre_CashOrConk_9,#CashOrConkSymbol/Socre_CashOrConk_9.png;0;0;0.5,
Socre_CashOrConk_10,#CashOrConkSymbol/Socre_CashOrConk_10.png;0;0;0.5,
Socre_CashOrConk_11,#CashOrConkSymbol/Socre_CashOrConk_11.png;0;0;0.5,
Socre_CashOrConk_12,#CashOrConkSymbol/Socre_CashOrConk_12.png;0;0;0.5,
Socre_CashOrConk_Wild,#CashOrConkSymbol/Socre_CashOrConk_Wild.png;0;0;0.5,
Socre_CashOrConk_Bonus,#CashOrConkSymbol/Socre_CashOrConk_Bonus1.png;0;0;0.5,

specialSymbolList,92,94


SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_4,idleframe-false
SpineSymbol_5,idleframe-false


SpineSymbol_92,idleframe-false
SpineSymbol_94,idleframe-false

SymbolBulingAnim_92,1-buling
SymbolBulingAnim_94,1-buling

reelWidth,1470
reelHeight,680

reelLongRunSpeed,4000
reelLongRunTime,2
isAllLineType,0
lineCount,
columnNum,5
rowNum,3
scatterShowCol,1;2;3;4
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;18;21;24;27
reelMoveSpeed,2672
reelResDis,25
reelDownTime,0.1
musicDelayTime,10
musicBg,CashOrConkSounds/sound_COC_baseLineFrame_base.mp3
musicFsBg,LeoWealthSounds/sound_LeoWealth_bg_fg.mp3
randomSmallSymbolNum,
showScoreImage,0
SymbolBulingAnim2_,
SymbolBulingSound2_,
bigSymbolTypeCounts,


fsReelMoveSpeed,2939
fsReelRunDatas,16;19;22;25;28

SymbolBulingSound_94,CashOrConkSounds/sound_COC_baseLineFrame_bonus_down.mp3-0

soundReelDown,CashOrConkSounds/sound_COC_baseLineFrame_stop_normal.mp3
soundQuickReelDown,CashOrConkSounds/sound_COC_baseLineFrame_stop_quick.mp3

