reel_cloumn1,7;4;8;0;6;92;1;4;9;1;8;9;2;1;92;3;6;0;9;3;0;4;4;8;0;2;0;4;0;7;4;3;0;8;6;0;4;1;8;92;4;0;2;4;2;1;3;6;4;3;0;7;8;92;0;2;4;9;0;7;2;1;2;8;2;0;9;92;0;8;0;2;1;2;3;9;92;6;0;6,
reel_cloumn2,9;1;5;92;102;8;9;4;8;1;4;101;6;3;92;1;101;5;4;102;3;3;101;2;3;100;9;8;4;100;3;5;6;101;2;4;102;1;92;5;1;0;100;3;3;5;8;5;101;5;2;102;2;8;92;3;7;8;1;8;7;9;92;1;102;92;6;6;0;5;8;1;7;7;100;0;6;3;6;100;3;1;92;6;0;6;4;5;5;92;2;2,
reel_cloumn3,2;8;8;5;92;2;6;8;3;6;0;7;5;1;2;3;5;5;1;92;92;9;6;3;2;5;5;4;0;2;3;3;3;3;0;7;4;92;9;9;2;0;1;5;7;9;9;0;4;92;3;0;92;92;1;4;0;5;3;2;9;7;92;4;1;2;4;1;9;4;92;5;0;8;3;1;7;0;6;7;4;1;4;5;1;7;7;4;1;92;2;1;9;2;0;0,
reel_cloumn4,202;9;0;1;200;6;92;7;8;2;201;1;1;4;200;92;1;4;3;0;2;6;2;6;202;7;3;2;1;1;8;3;4;0;9;1;3;2;200;8;2;6;92;0;6;4;200;4;7;202;4;1;9;8;2;8;1;3;4;0;201;4;4;0;201;0;0;7;201;1;2;4;202;4;0;2;202;2;9;9;200;1;3;92;6;92;0;92;8;201;92;8;8;0;92;9,
reel_cloumn5,3;4;92;5;2;5;0;5;5;0;92;0;1;1;8;8;8;5;3;5;6;1;2;4;3;6;92;7;6;2;6;4;4;3;3;92;3;3;1;3;8;7;8;9;2;4;92;7;5;3;1;92;7;0;0;2;5;4;5;6;1;1;8;3;1;9;1;9;9;6;1;92;1;1;2;6;8;8;92;6;5;1;0;92,

freespinModeId_0_1,5;92;0;0;0;3;6;4;0;7;7;7;1;1;3;1;5;5;1;5;3;3;1;5;6;8;1;3;1;3;3;3;3;5;6;3;4;0;8;2;2;2;2;92;92;3;5;1;92;92;7;8;4;4;3;5;7;4;8;5;7;5;8;5;3;3;2;7;3;3;5;5;5;2;2;2;9;5;3;2;6;7;7;5;5;6;6;6;0;1;2;1;1;1;7;7;7;92;8;5;3;8;8;8;0;0;0;0;0;92;3;3;1;9;1;1;5;5;5;2;2;2;2;1;5;6;6;5;5;8;1;1;1;92;8;8;8;0;0;0,
freespinModeId_0_2,5;92;0;0;0;3;2;1;0;7;7;7;1;1;8;9;5;1;1;1;3;3;3;5;6;8;1;6;0;1;1;1;3;3;7;5;3;1;3;3;3;3;3;5;8;9;1;3;2;2;2;2;92;92;5;4;1;92;92;7;8;5;7;1;5;5;5;1;5;5;5;4;4;4;8;5;3;5;0;7;3;3;3;5;5;5;2;2;3;3;6;2;2;6;8;8;5;5;1;3;4;3;1;3;3;6;6;6;4;8;1;1;5;5;3;2;1;7;7;7;5;5;5;8;1;1;92;8;8;8;0;0;0;1;1;3;3;92;92;92,
freespinModeId_0_3,5;92;0;0;0;5;4;3;0;7;7;7;1;1;5;4;1;3;1;1;3;3;1;5;6;8;2;5;5;1;1;1;3;3;7;1;3;1;3;3;3;3;3;5;8;5;8;3;2;2;2;2;92;92;9;3;1;92;92;7;8;3;6;0;5;5;5;1;7;5;5;4;4;4;8;5;3;1;2;7;3;3;3;5;5;5;2;2;3;8;5;2;2;6;8;8;5;5;1;6;5;1;1;3;3;6;6;6;4;8;1;1;9;1;3;1;1;7;7;7;5;5;5;0;5;1;92;8;8;8;0;0;0;1;1;3;3;92;92;92,
freespinModeId_0_4,5;92;0;0;0;3;3;3;0;0;7;7;7;1;5;1;0;1;1;1;3;3;3;5;1;6;5;1;4;8;1;1;3;3;5;6;5;9;3;3;3;3;3;3;5;8;3;1;8;2;2;2;92;92;9;6;3;92;92;92;7;2;1;5;8;5;3;5;4;5;5;5;1;1;4;4;3;1;5;4;8;5;7;3;3;3;5;5;5;0;2;5;2;2;2;2;6;8;8;1;1;7;5;5;3;3;3;3;6;6;6;4;3;1;8;5;8;1;1;1;7;7;7;3;7;1;1;1;1;1;92;8;8;8;0;0;8;0;0;0,
freespinModeId_0_5,5;92;0;0;0;3;6;4;0;0;0;0;7;7;3;1;5;5;7;1;5;5;3;1;1;1;1;3;1;1;1;1;6;8;6;3;4;0;3;3;3;3;3;3;5;3;5;1;5;8;2;2;2;2;3;5;7;2;2;7;92;5;8;5;92;92;2;7;3;92;92;92;6;8;4;4;9;5;3;4;4;5;7;3;3;3;3;3;0;1;2;3;5;5;5;6;6;2;2;5;3;8;2;2;2;2;6;8;8;92;92;92;1;9;1;1;92;92;92;6;1;1;1;6;5;1;1;1;7;7;7;8;8;8;0;0;9;0;0;0,

freespinModeId_1_1,5;92;0;0;0;0;2;4;0;0;2;7;7;7;1;1;1;5;6;8;3;3;3;3;5;6;0;2;6;4;5;4;3;4;2;2;2;2;1;8;8;2;4;92;92;92;7;8;4;4;4;8;5;7;3;9;4;6;7;7;5;8;1;2;0;3;3;5;5;1;7;5;2;0;5;3;4;4;2;2;2;5;6;6;6;1;1;7;7;92;8;8;8;0;0;0;0;0;92;3;3;2;2;0;9;7;0;7;5;5;5;2;2;2;2;6;6;5;5;8;1;1;1;92;8;8;8;0;0;0,
freespinModeId_1_2,5;92;0;0;0;0;0;1;4;6;7;7;7;1;1;1;1;6;8;0;0;0;0;2;2;3;3;3;6;5;9;2;8;2;2;2;2;92;3;4;2;92;92;92;7;8;4;4;4;4;4;4;4;8;5;7;4;6;8;8;5;8;0;3;0;2;3;3;3;0;0;5;5;5;2;3;4;2;2;2;2;5;2;7;4;2;0;0;0;6;6;6;4;8;1;1;1;7;7;7;2;2;8;4;2;4;4;2;4;92;8;8;8;0;0;0;0;1;0;0;5;9;7;2;2;2;0;92;92;92,
freespinModeId_1_3,5;92;0;0;0;0;5;7;4;9;7;7;7;1;1;1;1;6;8;0;0;0;0;2;2;3;3;3;2;2;2;2;4;5;2;2;2;92;3;4;8;92;92;92;7;8;4;4;4;4;6;0;6;1;4;4;4;5;0;4;8;4;8;5;7;3;3;3;5;0;6;5;5;2;2;2;2;6;8;8;5;0;8;2;0;0;0;6;6;4;8;1;1;1;7;7;7;2;2;3;4;7;4;3;2;2;2;4;92;8;8;8;0;0;1;0;0;0;9;2;4;0;0;2;2;2;0;92;92;92,
freespinModeId_1_4,5;92;0;0;0;0;0;4;9;4;7;7;7;1;1;1;1;6;8;5;4;2;7;0;0;0;2;2;3;4;5;8;2;2;2;92;92;92;2;3;3;92;92;1;8;0;0;9;4;7;8;4;4;4;4;4;2;2;3;3;3;5;0;0;4;4;4;4;4;7;5;6;0;2;8;8;5;7;4;1;2;3;5;5;2;4;3;2;2;2;2;6;8;8;5;5;0;0;0;2;6;6;6;4;8;1;1;1;7;7;7;4;4;4;4;4;92;8;8;8;0;0;0;0;0;0;6;0;2;0,
freespinModeId_1_5,5;92;0;0;0;2;4;0;0;0;0;0;0;7;7;7;1;1;1;1;1;2;6;0;2;1;6;8;3;4;2;3;3;3;4;5;5;8;3;3;4;2;2;2;1;8;6;4;5;2;2;2;7;92;92;92;9;0;5;3;3;4;8;1;92;92;92;6;8;6;2;4;4;4;4;5;7;3;3;2;0;3;3;5;5;5;6;2;2;3;4;4;2;2;2;2;6;8;8;92;92;92;2;0;9;92;92;92;6;1;1;1;1;1;1;7;7;7;8;8;8;0;0;7;7;7;0;0;0;0,


BN_Base1_pro,15-3;10-15;5-25;2-16;1-3,

init_reel1,4;4;4
init_reel2,0;101;0
init_reel3,92;92;92
init_reel4,1;201;1
init_reel5,5;5;5

Socre_CatandMouse_1,#Symbol/Socre_CatandMouse_1.png;0;0;0.5,
Socre_CatandMouse_2,#Symbol/Socre_CatandMouse_2.png;0;0;0.5,
Socre_CatandMouse_3,#Symbol/Socre_CatandMouse_3.png;0;0;0.5,
Socre_CatandMouse_4,#Symbol/Socre_CatandMouse_4.png;0;0;0.5,
Socre_CatandMouse_5,#Symbol/Socre_CatandMouse_5.png;0;0;0.5,
Socre_CatandMouse_6,#Symbol/Socre_CatandMouse_6.png;0;0;0.5,
Socre_CatandMouse_7,#Symbol/Socre_CatandMouse_7.png;0;0;0.5,
Socre_CatandMouse_8,#Symbol/Socre_CatandMouse_8.png;0;0;0.5,
Socre_CatandMouse_9,#Symbol/Socre_CatandMouse_9.png;0;0;0.5,
Socre_CatandMouse_10,#Symbol/Socre_CatandMouse_10.png;0;0;0.5,
Socre_CatandMouse_Wild,#Symbol/Socre_CatandMouse_Wild.png;0;0;0.5,
Socre_CatandMouse_bu1,#Symbol/Socre_CatandMouse_bu1.png;0;0;0.5,
Socre_CatandMouse_shitou1,#Symbol/Socre_CatandMouse_shitou1.png;0;0;0.5,
Socre_CatandMouse_jiandao1,#Symbol/Socre_CatandMouse_jiandao1.png;0;0;0.5,
Socre_CatandMouse_bu2,#Symbol/Socre_CatandMouse_bu2.png;0;0;0.5,
Socre_CatandMouse_shitou2,#Symbol/Socre_CatandMouse_shitou2.png;0;0;0.5,
Socre_CatandMouse_jiandao2,#Symbol/Socre_CatandMouse_jiandao2.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_4,idleframe-false
SpineSymbol_5,idleframe-false
SpineSymbol_92,idleframe-false

isAllLineType,0
lineCount,30
columnNum,5
rowNum,3
reelWidth,768
reelHeight,1080
bPlayScatterAction,1
reelRunDatas,15;20;25;30;35
quickStopDelayTime,0
reelMoveSpeed,2600
reelResTime,0.2
reelDownTime,0.1
reelResDis,15
reelLongRunSpeed,4000
reelLongRunTime,2.5
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,CatandMouseSounds/music_CatandMouse_NorBg.mp3
soundReelDown,CatandMouseSounds/music_CatandMouse_Reel_stop.mp3
randomSmallSymbolNum,12
showLinesTime,2
specialSymbolList,0;1;100;101;102;200;201;202

