reel_cloumn1,100;102;100;3;100;4;100;2;100;0;100;101;100;0;100;2;100;4;100;103;100;1;100,
reel_cloumn2,100;2;100;3;100;4;100;103;100;4;100;101;100;1;100;102;100;4;100;3;100;0;100,
reel_cloumn3,100;102;100;3;100;1;100;2;100;0;100;101;100;0;100;2;100;4;100;103;100;3;100,

Normal_Reel_1,102-1;100-1;3-1;100-1;4-1;100-1;2-1;100-1;0-1;100-1;101-1;100-1;0-1;100-1;2-1;100-1;4-1;100-1;103-1;100-1;1-1;100-1,
Normal_Reel_2,2-1;100-1;3-1;100-1;4-1;100-1;103-1;100-1;4-1;100-1;101-1;100-1;1-1;100-1;102-1;100-1;4-1;100-1;3-1;100-1;0-1;100-1,
Normal_Reel_3,102-1;100-1;3-1;100-1;1-1;100-1;2-1;100-1;0-1;100-1;101-1;100-1;0-1;100-1;2-1;100-1;4-1;100-1;103-1;100-1;3-1;100-1,


lineCount,1
columnNum,3
rowNum,5
reelWidth,758
reelHeight,500
reelRunDatas,15;21;27
bPlayScatterAction,1
reelMoveSpeed,2300
bInclScatter,1
bPlayScatterAction,1
reelResType,1
reelResTime,0.15
reelResDis,45
reelBeginJumpTime,0
randomSmallSymbolNum,5
showScoreImage,0
soundReelDown,CharmsSounds/sound_classic_reelStop.mp3
commonSoundReelDown,Sounds/CommonReelDown_5.mp3
