reel_cloumn1,0;0;0;6;8;2;6;5;3;6;7;2;6;8;3;6;4;7;1;8;9;1;10;2;6;9;3;5;6;2;6;6;3;10;8;4;6;2;6;8;3;6;7;0;0;6;8;4;7;3;9;6;4;5;6;2;10;8;1;6;3;6;2;6;4;6;6;2;10;9;3;8;10;6;0;9;4;6;5;4;6;8;4;10;8;1;10;0;0;0;0;7;8;4;6;7;3;5;6;4;7;														
reel_cloumn2,6;7;3;5;6;4;7;
reel_cloumn3,4;2;5;92;4;92;5;92;3;8;2;90;92;8;0;0;4;92;8;1;92;1;6;7;3;6;2;2;6;7;7;5;
reel_cloumn4,4;0;5;92;4;92;5;3;3;8;2;90;92;8;0;0;4;92;8;92;1;1;6;7;3;6;2;2;6;0;7;5;
reel_cloumn5,4;0;5;92;4;5;92;3;3;8;2;90;92;8;0;0;4;92;8;92;1;1;6;7;3;6;2;2;6;0;7;5;


Socre_ChicElla_1,#Symbol/Socre_ChicElla_1.png;0;0;0.5,
Socre_ChicElla_2,#Symbol/Socre_ChicElla_2.png;0;0;0.5,
Socre_ChicElla_3,#Symbol/Socre_ChicElla_3.png;0;0;0.5,
Socre_ChicElla_4,#Symbol/Socre_ChicElla_4.png;0;0;0.5,
Socre_ChicElla_5,#Symbol/Socre_ChicElla_5.png;0;0;0.5,
Socre_ChicElla_6,#Symbol/Socre_ChicElla_6.png;0;0;0.5,
Socre_ChicElla_7,#Symbol/Socre_ChicElla_7.png;0;0;0.5,
Socre_ChicElla_8,#Symbol/Socre_ChicElla_8.png;0;0;0.5,
Socre_ChicElla_9,#Symbol/Socre_ChicElla_9.png;0;0;0.5,
Socre_ChicElla_10,#Symbol/Socre_ChicElla_10.png;0;0;0.5,
Socre_ChicElla_11,#Symbol/Socre_ChicElla_11.png;0;0;0.5,
Socre_ChicElla_Scatter,#Symbol/Socre_ChicElla_Scatter.png;0;0;0.5,
Socre_ChicElla_Wild,#Symbol/Socre_ChicElla_Wild.png;0;0;0.5,
Socre_ChicElla_Jackpot,#Symbol/Socre_ChicElla_Jackpot.png;0;0;0.5,



SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_4,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_94,idleframe-false



isAllLineType,0
lineCount,
columnNum,5
rowNum,3
reelWidth,
reelHeight,
scatterShowCol,1;2;3
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameChicElla_run
reelBgEffectRes,WinFrameChicElla_run_bg
quickStopDelayTime,0
reelMoveSpeed,2650
reelResTime,0.15
reelDownTime,0.1
reelResDis,7
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,ChicEllaSounds/music_ChicElla_basegame.mp3
musicFsBg,ChicEllaSounds/music_ChicElla_freespin.mp3
musicReSpinBg,ChicEllaSounds/music_ChicElla_respin.mp3
soundScatterTip,
soundBonusTip,
soundReelDown,
reelRunSound,
randomSmallSymbolNum, 
showScoreImage,0  -- 是否显示分数的图片代替滚动时 , 0 代表不适用， 1代表使用 
showLinesTime,2


fsReelMoveSpeed,2650
fsReelRunDatas,17;21;25;29;33
