reel_cloumn1,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,
reel_cloumn2,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,
reel_cloumn3,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,
reel_cloumn4,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,
reel_cloumn5,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,

freespinModeId_0_1,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,
freespinModeId_0_2,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,
freespinModeId_0_3,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,
freespinModeId_0_4,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,
freespinModeId_0_5,0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;94;94;94;94;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;92;92;92;92,

Socre_CoinCircus_1,#Symbol/CoinCircus_L5.png;0;0;0.5,
Socre_CoinCircus_2,#Symbol/CoinCircus_L4.png;0;0;0.5,
Socre_CoinCircus_3,#Symbol/CoinCircus_L3.png;0;0;0.5,
Socre_CoinCircus_4,#Symbol/CoinCircus_L2.png;0;0;0.5,
Socre_CoinCircus_5,#Symbol/CoinCircus_L1.png;0;0;0.5,
Socre_CoinCircus_6,#Symbol/CoinCircus_h4.png;0;0;0.5,
Socre_CoinCircus_7,#Symbol/CoinCircus_h3.png;0;0;0.5,
Socre_CoinCircus_8,#Symbol/CoinCircus_h2.png;0;0;0.5,
Socre_CoinCircus_9,#Symbol/CoinCircus_h1.png;0;0;0.5,

Socre_CoinCircus_Wild,#Symbol/CoinCircus_wild.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_92,idleframe-false

isAllLineType,1
lineCount,50
columnNum,5
rowNum,4
reelWidth,768
reelHeight,920
scatterShowCol,
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;18;21;24;27
reelEffectRes,
reelBgEffectRes,
quickStopDelayTime,0
reelMoveSpeed,1500
reelResTime,0.15
reelDownTime,0.1
reelResDis,16
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,CoinCircusSounds/music_CoinCircus_BaseBG.mp3
musicFsBg,CoinCircusSounds/
soundScatterTip,CoinCircusSounds/ 
soundBonusTip,CoinCircusSounds/ 
soundReelDown,CoinCircusSounds/sound_CoinCircus_reel_stop.mp3
commonSoundReelDown,Sounds/CommonReelDown_1.mp3
showScoreImage,1
showLinesTime,2


fsReelMoveSpeed,1650
fsReelRunDatas,16;19;22;25;28
