reel_cloumn1,4;97;9;3;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;5;110;110;4;3;6;6;92;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;4;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;110;5;0;4;3;6;6;92;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;4;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;110;1;0;4;3;6;6;7;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;4;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;110;1;0;4;3;6;6;3;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0,
reel_cloumn2,4;97;97;3;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;5;111;111;4;3;6;92;92;3;5;97;97;3;7;0;2;1;1;2;2;6;7;7;92;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;111;5;0;4;3;6;6;92;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;111;1;0;4;3;6;6;7;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;111;1;0;4;3;6;6;2;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0,
reel_cloumn3,4;97;97;97;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;7;2;3;5;5;92;4;5;112;112;4;3;6;92;92;3;5;97;97;97;7;0;2;1;1;2;2;6;7;7;92;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;7;2;3;5;5;92;4;112;5;0;4;3;6;6;7;3;5;1;8;8;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;112;1;0;4;3;6;6;2;3;5;97;97;97;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;112;1;0;4;3;6;6;2;3;5;97;97;97;7;0;2;1;1;2;2;6;7;0,
reel_cloumn4,4;97;97;3;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;5;113;113;4;3;6;92;92;92;5;97;97;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;113;5;0;4;3;6;6;2;3;5;1;8;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;113;1;0;4;3;6;6;2;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;113;1;0;4;3;6;6;2;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0,
reel_cloumn5,4;97;9;3;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;5;114;114;4;3;6;92;92;92;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;114;5;0;4;3;6;6;2;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;114;1;0;4;3;6;6;2;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;114;1;0;4;3;6;6;2;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0,

freespinModeId_0_1,4;97;9;3;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;110;0;0;7;0;2;3;5;5;92;4;110;110;110;4;3;6;6;92;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;4;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;110;110;0;4;3;6;6;92;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;4;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;110;1;0;4;3;6;92;92;3;5;97;9;3;7;110;2;1;1;2;2;6;7;0;4;4;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;110;110;0;4;3;6;6;3;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0,
freespinModeId_0_2,4;97;97;3;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;111;0;0;7;90;2;3;5;5;92;4;111;111;111;4;3;6;92;92;3;5;97;97;3;7;0;2;1;1;2;2;6;7;92;92;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;111;111;0;4;3;6;92;92;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;92;3;3;6;0;0;7;90;2;3;5;5;92;4;111;1;0;4;3;6;92;92;3;5;97;97;3;7;111;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;111;111;0;4;3;6;92;92;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0,
freespinModeId_0_3,4;97;97;97;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;112;0;0;7;7;2;3;5;5;92;4;112;112;112;4;3;6;92;92;3;5;97;97;97;7;0;2;1;1;2;2;6;7;92;92;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;7;2;3;5;5;92;4;112;112;0;4;3;6;92;92;3;5;97;97;97;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;112;1;0;4;3;6;6;2;3;5;97;97;97;7;112;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;112;112;0;4;3;6;6;2;3;5;97;97;97;7;0;2;1;1;2;2;6;7;0,
freespinModeId_0_4,4;97;97;3;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;113;0;0;7;90;2;3;5;5;92;4;113;113;113;4;3;6;92;92;92;5;97;97;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;113;113;0;4;3;6;6;2;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;113;1;0;4;3;6;6;2;3;5;97;97;3;7;113;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;90;1;2;4;3;3;6;0;0;7;90;2;3;5;5;92;4;113;113;0;4;3;6;6;2;3;5;97;97;3;7;0;2;1;1;2;2;6;7;0,
freespinModeId_0_5,4;97;9;3;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;114;0;0;7;0;2;3;5;5;92;4;114;114;114;4;3;6;92;92;92;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;114;114;0;4;3;6;6;2;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;114;1;0;4;3;6;6;2;3;5;97;9;3;7;114;2;1;1;2;2;6;7;0;4;92;3;9;9;1;7;8;0;96;96;96;96;96;96;96;96;1;8;8;0;1;2;4;3;3;6;0;0;7;0;2;3;5;5;92;4;114;114;0;4;3;6;6;2;3;5;97;9;3;7;0;2;1;1;2;2;6;7;0,

Socre_Egypt_1,#Symbol/Socre_Egypt_2.png;0;0;0.5,
Socre_Egypt_2,#Symbol/Socre_Egypt_3.png;0;0;0.5,
Socre_Egypt_3,#Symbol/Socre_Egypt_4.png;0;0;0.5,
Socre_Egypt_4,#Symbol/Socre_Egypt_5.png;0;0;0.5,
Socre_Egypt_5,#Symbol/Socre_Egypt_6.png;0;0;0.5,
Socre_Egypt_6,#Symbol/Socre_Egypt_H4.png;0;0;0.5,
Socre_Egypt_7,#Symbol/Socre_Egypt_H3.png;0;0;0.5,
Socre_Egypt_8,#Symbol/Socre_Egypt_H2.png;0;0;0.5,
Socre_Egypt_9,#Symbol/Socre_Egypt_H1.png;0;0;0.5,
Socre_Egypt_10,#Symbol/Socre_Egypt_1.png;0;0;0.5,
Socre_Egypt_Scatter,#Symbol/Socre_Egypt_Scatter_H.png;0;0;0.5,
Socre_Egypt_Wild,#Symbol/Socre_Egypt_Wild_H.png;0;0;0.5,
Socre_Egypt_bonus1,#Symbol/Socre_Egypt_Classical_11.png;0;0;0.5,
Socre_Egypt_bonus2,#Symbol/Socre_Egypt_Classical_12.png;0;0;0.5,
Socre_Egypt_bonus3,#Symbol/Socre_Egypt_Classical_16.png;0;0;0.5,
Socre_Egypt_bonus4,#Symbol/Socre_Egypt_Classical_10.png;0;0;0.5,
Socre_Egypt_bonus5,#Symbol/Socre_Egypt_Classical_9.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_96,idleframe-false
SpineSymbol_97,idleframe-false

isAllLineType,0
lineCount,30
columnNum,5
rowNum,3
scatterShowCol,2;3;4
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;18;21;24;27
reelEffectRes,WinEgypt_run
quickStopDelayTime,0
reelMoveSpeed,1650
reelResTime,0.15
reelResType,2
reelDownTime,0.1
reelResDis,18
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,EgyptSounds/music_Egypt_bgm_normal.mp3
musicFsBg,EgyptSounds/music_Egypt_bgm_fs.mp3
musicReSpinBg,EgyptSounds/ 
soundScatterTip,EgyptSounds/sound_Egypt_scatter_trigger.mp3
soundBonusTip,EgyptSounds/ 
soundReelDown,EgyptSounds/sound_Egypt_reel_down.mp3
commonSoundReelDown,Sounds/CommonReelDown_3.mp3
randomSmallSymbolNum,
showScoreImage,1
specialSymbolList,90
showLinesTime,2

fsReelMoveSpeed,1815
fsReelRunDatas,16;19;22;25;28
