reel_cloumn1,1001;1002;97;1002;1010;1002;1015;1002;110;1002;1011;1002;114;1002;1010;1002;1010;1002;97;1002;1001;1002;113;1002;1010;1002;97;1002;114;1002;1014;1002;1001;1002;112;1002;1010;1002;1001;1002;97;1002;110;1002;1001;1002;97;1002;1010;1002;110;1002;1001;1002;1010;1002;97;1002;112;1002;1010;1002;1014;1002,


freespinModeId_0_1,1001;1002;97;1002;1010;1002;1015;1002;110;1002;1011;1002;114;1002;1010;1002;1010;1002;97;1002;1001;1002;113;1002;1010;1002;97;1002;114;1002;1014;1002;1001;1002;112;1002;1010;1002;1001;1002;97;1002;110;1002;1001;1002;97;1002;1010;1002;110;1002;1001;1002;1010;1002;97;1002;112;1002;1010;1002;1014;1002,


Normal_Reel_1,1001-1;1002-1;97-1;1002-1;1010-1;1002-1;1015-1;1002-1;110-1;1002-1;1011-1;1002-1;114-1;1002-1;1010-1;1002-1;1010-1;1002-1;97-1;1002-1;1001-1;1002-1;113-1;1002-1;1010-1;1002-1;97-1;1002-1;114-1;1002-1;1014-1;1002-1;1001-1;1002-1;112-1;1002-1;1010-1;1002-1;1001-1;1002-1;97-1;1002-1;110-1;1002-1;1001-1;1002-1;97-1;1002-1;1010-1;1002-1;110-1;1002-1;1001-1;1002-1;1010-1;1002-1;97-1;1002-1;112-1;1002-1;1010-1;1002-1;1014-1;1002-1,

FreeSpin_Reel_1,1001-1;1002-1;97-1;1002-1;1010-1;1002-1;1015-1;1002-1;110-1;1002-1;1011-1;1002-1;114-1;1002-1;1010-1;1002-1;1010-1;1002-1;97-1;1002-1;1001-1;1002-1;113-1;1002-1;1010-1;1002-1;97-1;1002-1;114-1;1002-1;1014-1;1002-1;1001-1;1002-1;112-1;1002-1;1010-1;1002-1;1001-1;1002-1;97-1;1002-1;110-1;1002-1;1001-1;1002-1;97-1;1002-1;1010-1;1002-1;110-1;1002-1;1001-1;1002-1;1010-1;1002-1;97-1;1002-1;112-1;1002-1;1010-1;1002-1;1014-1;1002-1,



Socre_Egypt_bonus1,#Symbol/Socre_Egypt_Classical_11.png;0;0;0.5,
Socre_Egypt_bonus2,#Symbol/Socre_Egypt_Classical_12.png;0;0;0.5,
Socre_Egypt_bonus3,#Symbol/Socre_Egypt_Classical_16.png;0;0;0.5,
Socre_Egypt_bonus4,#Symbol/Socre_Egypt_Classical_10.png;0;0;0.5,
Socre_Egypt_bonus5,#Symbol/Socre_Egypt_Classical_9.png;0;0;0.5,
Egypt_FastLuck_2x,#Symbol/Socre_Egypt_Classical_2.png;0;0;0.5,
Egypt_FastLuck_4x,#Symbol/Socre_Egypt_Classical_3.png;0;0;0.5,
Egypt_FastLuck_8x,#Symbol/Socre_Egypt_Classical_4.png;0;0;0.5,
Egypt_FastLuck_10x,#Symbol/Socre_Egypt_Classical_8.png;0;0;0.5,

SpineSymbol_97,idleframe-false
SpineSymbol_1010,idleframe-false
SpineSymbol_1011,idleframe-false
SpineSymbol_1014,idleframe-false
SpineSymbol_1015,idleframe-false

isAllLineType,0
lineCount,1
columnNum,1
rowNum,3
scatterShowCol,1;2;3;4;5
reelWidth,1300
reelHeight,620
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15
reelEffectRes,
quickStopDelayTime,0
reelMoveSpeed,1650
reelResTime,0.15
reelResDis,18
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
randomSmallSymbolNum,12
showScoreImage,1
soundReelDown,
fsReelMoveSpeed,1815
fsReelRunDatas,16
