reel_cloumn1,6;4;4;4;10;10;92;94;3;3;8;8;2;2;2;5;5;5;0;0;0;7;7;95;4;4;4;6;6;101;2;2;10;10;10;0;0;0;9;9;101;6;6;92;92;92;6;95;3;3;6;6;6;2;2;2;6;6;6;1;1;101;5;5;4;4;4;92;92;92;8;8;101;6;6;3;3;3;6;6;6;2;2;2;6;6;6;1;1;1;5;5;96;4;4;6;2;2;2;101;6;6;1;1;1;5;5;4;4;4;92;92;92;8;8;101;6;6;3;3;94;6;6;6;2;2;2;6;6;6;1;1;101;5;5;4;4;4;6;6;4;4;4;10;10;96;3
reel_cloumn2,10;4;4;4;6;6;92;94;2;2;92;92;92;9;9;9;8;8;8;0;0;0;0;0;4;4;95;10;10;6;6;6;4;4;4;6;6;92;92;92;9;9;4;4;4;5;2;2;95;0;0;0;7;7;5;5;5;3;3;1;1;1;6;6;6;8;8;3;3;3;2;2;2;10;10;10;7;7;0;0;0;3;3;5;5;1;1;1;6;6;6;8;96;3;3;10;7;5;5;5;3;3;1;1;1;6;6;6;8;8;3;3;3;2;2;2;10;10;7;7;94;0;0;0;3;3;5;5;1;1;1;6;6;6;8;8;3;3;10;10;4;4;4;6;6;96;2
reel_cloumn3,10;4;4;92;8;8;2;94;2;10;10;10;4;4;4;6;6;10;10;10;7;7;7;95;2;2;2;4;4;4;5;5;9;9;9;0;0;0;0;2;2;2;6;6;92;92;95;0;0;92;92;9;9;9;6;6;6;2;2;2;1;1;1;7;7;7;6;6;3;3;3;92;92;8;8;8;9;9;6;6;6;0;0;0;2;2;2;1;1;1;7;7;96;3;3;10;9;6;6;6;2;2;2;1;1;1;7;7;7;6;6;3;3;3;92;92;8;8;9;9;94;6;6;6;0;0;0;2;2;2;1;1;1;7;7;3;3;3;10;10;4;4;96;8;8;2;2
reel_cloumn4,6;6;92;2;2;10;10;94;6;6;3;3;3;92;92;92;5;5;5;9;9;0;0;0;0;0;2;2;2;4;4;95;8;8;5;5;5;7;7;7;2;2;2;2;2;8;9;95;4;4;1;1;1;7;7;5;5;5;4;4;4;2;2;2;3;3;3;7;7;7;8;8;2;2;2;2;2;4;4;4;9;9;9;7;7;1;1;1;2;2;2;5;96;3;3;3;7;7;5;5;5;4;4;4;2;2;2;3;3;3;7;7;7;8;8;2;2;2;2;2;94;4;4;9;9;7;7;7;1;1;1;2;2;2;5;5;3;3;3;6;6;96;2;2;10;10;10
reel_cloumn5,7;4;4;5;5;92;3;94;8;8;8;1;1;1;101;5;5;3;3;95;6;6;6;1;1;1;9;9;92;92;92;92;8;8;5;5;5;0;0;0;0;101;10;10;2;2;7;4;4;4;95;9;9;3;3;3;5;5;2;2;2;101;8;8;5;5;5;0;0;0;0;10;10;10;2;2;2;2;7;7;7;101;4;4;4;9;9;3;3;3;5;5;96;2;2;7;3;3;3;5;5;2;2;2;8;8;8;101;5;5;0;0;0;0;10;10;10;2;2;2;94;7;7;7;4;4;4;101;9;9;3;3;3;5;5;2;2;2;7;7;4;4;5;5;96;3;3

Socre_GirlsMagic_1,#Symbol/Socre_GirlsMagic_1.png;0;0;0.5,
Socre_GirlsMagic_2,#Symbol/Socre_GirlsMagic_2.png;0;0;0.5,
Socre_GirlsMagic_3,#Symbol/Socre_GirlsMagic_3.png;0;0;0.5,
Socre_GirlsMagic_4,#Symbol/Socre_GirlsMagic_4.png;0;0;0.5,
Socre_GirlsMagic_5,#Symbol/Socre_GirlsMagic_5.png;0;0;0.5,
Socre_GirlsMagic_6,#Symbol/Socre_GirlsMagic_6.png;0;0;0.5,
Socre_GirlsMagic_7,#Symbol/Socre_GirlsMagic_7.png;0;0;0.5,
Socre_GirlsMagic_8,#Symbol/Socre_GirlsMagic_8.png;0;0;0.5,
Socre_GirlsMagic_9,#Symbol/Socre_GirlsMagic_9.png;0;0;0.5,
Socre_GirlsMagic_10,#Symbol/Socre_GirlsMagic_10.png;0;0;0.5,
Socre_GirlsMagic_11,#Symbol/Socre_GirlsMagic_11.png;0;0;0.5,
Socre_GirlsMagic_Wild,#Symbol/Socre_GirlsMagic_Wild.png;0;0;0.5,
Socre_GirlsMagic_Bonus,#Symbol/Socre_GirlsMagic_Bonus.png;0;0;0.5,
Socre_GirlsMagic_Bonus1,#Symbol/Socre_GirlsMagic_kou01.png;0;0;0.5,
Socre_GirlsMagic_Bonus2,#Symbol/Socre_GirlsMagic_kou02.png;0;0;0.5,
Socre_GirlsMagic_Bonus3,#Symbol/Socre_GirlsMagic_kou03.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_101,idleframe-false
SpineSymbol_92,idleframe-false

isAllLineType,0
lineCount,30
columnNum,5
rowNum,3
reelWidth,1400
reelHeight,550
scatterShowCol,5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,
quickStopDelayTime,0
reelMoveSpeed,2560
reelResTime,0.15
reelDownTime,0.1
reelResDis,26
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,GirlsMagicSounds/music_GirlsMagic_bg_base.mp3
musicFsBg,GirlsMagicSounds/ 
musicReSpinBg,GirlsMagicSounds/ 
soundScatterTip,GirlsMagicSounds/ 
soundBonusTip,GirlsMagicSounds/ 
soundReelDown,GirlsMagicSounds/sound_GirlsMagic_reel_stop.mp3
commonSoundReelDown,Sounds/CommonReelDown_3.mp3
randomSmallSymbolNum,
showScoreImage,1
showLinesTime,2
specialSymbolList,94;95;96

fsReelMoveSpeed,2816
fsReelRunDatas,17;21;25;29;33
