reel_cloumn1,90;10;0;8;5;1;6;8;1;6;5;7;0;6;5;8;0;90;2;5;6;0;10;8;3;6;0;8;10;10;8;0;2;3;9;8;7;0;8;2;1;9;8;1;9;5;8;0;6;4;8;10;90;9;1;7;5;6;0;90;5;7;0;8;4;7;0;8;3;6;0;5;3;8;4;7;0;8;1;2;10;10;7;0;9;5;7;0;6;4;9;90;8;10;10;8;0;6;3;7;
reel_cloumn2,6;9;1;5;4;0;9;6;2;7;3;5;0;2;5;6;0;3;5;7;0;10;10;7;3;4;6;0;2;8;4;1;6;7;2;8;6;3;1;8;6;0;1;7;3;1;0;7;2;9;5;0;4;8;1;0;5;2;2;9;0;6;8;1;10;10;8;0;6;2;8;2;9;5;2;4;7;3;7;1;9;5;2;6;7;1;9;8;0;9;4;5;0;7;4;5;0;5;10;10;
reel_cloumn3,90;10;4;6;5;3;9;5;7;0;2;10;10;3;5;8;3;90;5;3;7;90;3;6;3;2;1;9;8;1;2;3;9;1;5;10;0;90;7;8;4;2;3;90;8;9;3;6;9;5;1;0;6;2;3;6;7;8;10;10;2;0;8;7;9;4;6;3;8;90;9;3;5;10;10;4;6;0;5;90;0;10;10;2;7;6;1;0;4;8;3;9;8;7;9;4;6;3;5;5;
reel_cloumn4,10;10;6;0;9;7;5;4;7;8;5;1;9;7;3;10;10;7;0;8;4;9;1;6;3;9;2;7;0;9;4;7;1;9;10;10;9;0;5;3;7;1;5;2;9;0;3;6;7;4;6;7;0;2;8;6;4;5;9;4;10;10;5;3;6;2;9;10;10;7;4;8;1;6;2;9;0;7;4;5;10;10;3;6;5;4;6;5;7;4;5;8;4;10;10;8;2;6;1;9;
reel_cloumn5,6;10;94;2;6;5;9;1;8;3;10;6;6;0;7;3;8;96;6;0;8;2;10;8;0;7;3;9;10;10;95;1;8;10;10;7;0;9;10;94;5;0;7;3;5;4;96;0;9;7;6;0;7;10;94;6;0;7;10;10;96;1;9;10;10;94;1;8;5;1;7;2;8;1;95;3;8;1;7;2;9;1;96;10;10;4;5;0;7;10;10;8;0;96;4;8;1;5;6;0;

freespinModeId_0_1,
freespinModeId_0_2,
freespinModeId_0_3,
freespinModeId_0_4,
freespinModeId_0_5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_4,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_94,idleframe-false
SpineSymbol_95,idleframe-false
SpineSymbol_96,idleframe-false

Socre_GoldieGrizzlies_1,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_1.png;0;0;0.5,
Socre_GoldieGrizzlies_2,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_2.png;0;0;0.5,
Socre_GoldieGrizzlies_3,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_3.png;0;0;0.5,
Socre_GoldieGrizzlies_4,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_4.png;0;0;0.5,
Socre_GoldieGrizzlies_5,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_5.png;0;0;0.5,
Socre_GoldieGrizzlies_6,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_6.png;0;0;0.5,
Socre_GoldieGrizzlies_7,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_7.png;0;0;0.5,
Socre_GoldieGrizzlies_8,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_8.png;0;0;0.5,
Socre_GoldieGrizzlies_9,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_9.png;0;0;0.5,
Socre_GoldieGrizzlies_10,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_10.png;0;0;0.5,
Socre_GoldieGrizzlies_11,#GoldieGrizzliesSymbol/Socre_GoldieGrizzlies_11.png;0;0;0.5,

init_reel1,3;3;3
init_reel2,1;1;1
init_reel3,0;0;0
init_reel4,2;2;2
init_reel5,3;3;3


BN_Base_pro,1-1;2-1;3-1

SymbolBulingAnim_90,1-buling
SymbolBulingAnim_94,1-buling
SymbolBulingAnim_95,1-buling
SymbolBulingAnim_96,1-buling


isAllLineType,0
lineCount,
columnNum,5
rowNum,3
reelWidth,
reelHeight,
scatterShowCol,1;3;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameGoldieGrizzlies_run
reelBgEffectRes,
quickStopDelayTime,0
reelMoveSpeed,2496
reelResTime,0.15
reelDownTime,0.1
reelResDis,26
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,GoldieGrizzliesSounds/music_GoldieGrizzlies_bg.mp3
musicFsBg,
musicReSpinBg,GoldieGrizzliesSounds/music_GoldieGrizzlies_respin_bg.mp3
soundScatterTip,
soundBonusTip,
soundReelDown,GoldieGrizzliesSounds/sound_GoldieGrizzlies_reel_stop.mp3
reelRunSound,GoldieGrizzliesSounds/sound_GoldieGrizzlies_quick_run.mp3
randomSmallSymbolNum,
showScoreImage,1
showLinesTime,2
specialSymbolList,90;94;95;96

fsReelMoveSpeed,2745
fsReelRunDatas,17;21;25;29;33
