reel_cloumn1,0;4;3;2;6;0;1;2;3;6;4;2;1;6;92;4;2;1;3;0;7;1;4;2;5;6;3;4;6;1;2;4;92;7;7;2;8;7;4;1;2;3;1;4;0;6;4;5;7;4;2;1;2;3;4;7;1;4;8;5;6;8;1;6;7;5;4;5;6;7;1;3;2;8;7;5
reel_cloumn2,8;8;1;6;7;5;90;5;6;7;1;2;3;8;7;5;4;90;6;5;8;0;5;6;8;7;6;5;90;6;8;5;4;6;8;4;92;6;5;8;92;7;6;8;90;1;4;2;6;0;1;2;90;6;2;4;1;6;92;4;2;1;3;4;7;4;4;90;5;6;3;4;6;4;1;2
reel_cloumn3,0;1;2;4;90;0;1;2;3;6;3;4;1;6;92;4;3;0;1;90;7;0;4;2;6;5;3;4;6;90;4;4;92;6;7;2;8;7;4;1;2;3;90;4;1;6;4;5;7;4;1;2;3;0;4;7;0;4;6;5;8;90;1;6;7;5;4;5;6;7;1;2;3;8;7;5
reel_cloumn4,8;5;1;6;7;5;4;5;6;7;90;1;2;8;7;5;1;4;6;5;8;0;90;5;6;7;5;6;90;6;8;5;4;6;8;4;92;6;5;8;92;7;6;8;0;4;90;4;6;0;2;1;0;6;4;3;1;6;92;4;1;0;2;90;7;3;4;2;5;5;3;90;6;4;1;2
reel_cloumn5,0;1;2;4;6;0;1;2;0;6;3;4;1;6;92;4;1;0;2;1;7;1;4;2;6;5;3;4;6;4;1;2;92;7;8;2;8;7;4;1;3;4;3;0;4;6;4;5;7;4;2;1;3;0;4;7;0;4;8;5;6;8;1;6;7;5;4;5;6;7;1;2;3;8;7;5

freespinModeId_0_1,0;4;3;2;6;0;1;2;3;6;4;2;1;6;92;4;2;1;3;0;7;1;4;2;5;6;3;4;6;1;2;4;92;7;7;2;8;7;4;1;2;3;1;4;0;6;4;5;7;4;2;1;2;3;4;7;1;4;8;5;6;8;1;6;7;5;4;5;6;7;1;3;2;8;7;5
freespinModeId_0_2,8;8;1;6;7;5;1;5;6;7;1;2;3;8;7;5;4;1;6;5;8;0;5;6;8;7;6;5;1;6;8;5;4;6;8;4;92;6;5;8;92;7;6;8;5;1;4;2;6;0;1;2;5;6;2;4;1;6;92;4;2;1;3;4;7;4;1;3;5;6;3;4;6;4;1;2
freespinModeId_0_3,0;1;2;4;5;0;1;2;3;6;3;4;1;6;92;4;3;0;1;5;7;0;4;2;6;5;3;4;6;1;2;4;92;6;7;2;8;7;4;1;2;3;5;4;1;6;4;5;7;4;1;2;3;0;4;7;0;4;6;5;8;2;1;6;7;5;4;5;6;7;1;2;3;8;7;5
freespinModeId_0_4,8;5;1;6;7;5;4;5;6;7;5;1;2;8;7;5;1;4;6;5;8;0;1;5;6;7;5;6;1;6;8;5;4;6;8;4;92;6;5;8;92;7;6;8;0;4;5;4;6;0;2;1;0;6;4;3;1;6;92;4;1;0;2;5;7;3;4;2;5;5;3;1;6;4;1;2
freespinModeId_0_5,0;1;2;4;6;0;1;2;0;6;3;4;1;6;92;4;1;0;2;1;7;1;4;2;6;5;3;4;6;4;1;2;92;7;8;2;8;7;4;1;3;4;3;0;4;6;4;5;7;4;2;1;3;0;4;7;0;4;8;5;6;8;1;6;7;5;4;5;6;7;1;2;3;8;7;5

Socre_Keno_1,#Symbol/Socre_keno_1.png;0;0;0.5,
Socre_Keno_2,#Symbol/Socre_keno_2.png;0;0;0.5,
Socre_Keno_3,#Symbol/Socre_keno_3.png;0;0;0.5,
Socre_Keno_4,#Symbol/Socre_keno_4.png;0;0;0.5,
Socre_Keno_5,#Symbol/Socre_keno_5.png;0;0;0.5,
Socre_Keno_6,#Symbol/Socre_keno_6.png;0;0;0.5,
Socre_Keno_7,#Symbol/Socre_keno_7.png;0;0;0.5,
Socre_Keno_8,#Symbol/Socre_keno_8.png;0;0;0.5,
Socre_Keno_9,#Symbol/Socre_keno_9.png;0;0;0.5,
Socre_Keno_Scatter,#Symbol/Socre_keno_scatter.png;0;0;0.5,
Socre_Keno_Wild,#Symbol/Socre_keno_wild.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_4,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_93,idleframe-false

init_reel1,1;1;1
init_reel2,92;92;92
init_reel3,92;92;92
init_reel4,92;92;92
init_reel5,0;0;0

SymbolBulingAnim_92,1-idleframe

isAllLineType,0
lineCount,50
columnNum,5
rowNum,3
reelHeight,555
scatterShowCol,2;3;4
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameKeno_run
reelBgEffectRes,WinFrameKeno_run_bg
quickStopDelayTime,0
reelMoveSpeed,2400
reelResTime,0.3
reelDownTime,0.1
reelResDis,25
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,KenoSounds/Music_Keno_Base_Bg.mp3
musicFsBg,KenoSounds/Music_Keno_Free_Bg.mp3
soundScatterTip,KenoSounds/sound_Keno_fsTrigger.mp3
soundReelDown,KenoSounds/sound_Keno_reel_down.mp3
reelRunSound,
randomSmallSymbolNum,9
specialSymbolList,90
showScoreImage,1
showLinesTime,2
fsReelMoveSpeed,2640
fsReelRunDatas,17;21;25;29;33

