reel_cloumn1,0;0;1;2;8;10;10;3;3;3;9;9;9;5;5;6;8;194;9;9;9;1;1;2;90;6;6;8;8;0;194;1;1;3;3;6;6;9;9;7;3;6;6;90;9;2;0;0;2;194;6;8;7;7;1;10;10;10;90;2;2;3;0;1;1;2;194;194;194;5;6;7;8;194;9;9;0;1;1;2;2;2;7;7;8;8;10;10;4;4;7;7;90;5;5;194;8;9;10;10;7;4,
reel_cloumn2,7;194;194;5;6;2;8;9;10;92;0;1;1;2;1;194;194;194;2;9;10;92;10;10;0;2;90;5;5;90;8;9;10;92;0;6;0;3;3;7;0;7;92;92;92;8;9;194;9;9;1;1;2;5;3;3;5;5;194;194;194;6;8;94;9;9;9;1;1;2;2;90;6;0;8;194;194;9;7;1;1;2;6;4;92;92;92;92;0;8;8;9;9;1;1;2;4;4;90,
reel_cloumn3,9;10;10;2;2;2;7;6;5;5;194;9;2;10;10;7;2;2;3;3;10;10;10;92;92;6;8;2;2;2;1;1;0;90;3;3;7;7;194;194;194;6;0;0;1;2;2;5;1;1;0;0;5;6;7;8;194;9;9;0;1;2;0;92;92;92;7;5;6;7;7;7;8;8;3;3;0;0;92;92;92;6;8;194;9;9;9;90;3;4;4;4;0;1;1;92;92;92;10;8;6,
reel_cloumn4,3;92;92;92;9;1;1;2;4;5;6;7;8;8;90;9;0;1;1;2;4;4;4;5;5;194;3;7;3;3;92;0;7;8;4;92;3;7;1;1;2;194;7;9;7;8;92;92;92;9;9;7;7;90;5;5;5;8;90;2;2;0;0;194;194;194;8;7;7;1;2;10;10;6;2;2;3;0;1;92;92;92;9;1;1;2;4;5;6;7;8;8;90;9,
reel_cloumn5,6;8;194;9;9;9;1;1;92;92;92;3;9;1;2;194;9;9;0;92;92;9;10;10;7;7;90;6;6;8;8;0;6;92;92;2;3;194;194;194;9;6;6;194;194;8;9;90;2;0;0;90;10;10;6;5;92;5;92;1;1;2;2;90;1;1;2;2;0;0;0;90;8;9;10;2;2;7;7;5;5;5;8;90;10;10;4;4;0;1;1;9;10;92;92;92,

freespinModeId_0_1,1;2;8;10;10;3;3;2;2;2;9;96;96;96;96;96;96;96;96;1;1;2;90;6;6;8;8;0;194;1;1;3;2;2;2;6;9;9;96;96;96;96;96;96;96;96;0;2;194;6;8;7;7;1;10;10;10;90;2;2;3;0;1;2;194;194;194;5;6;7;8;194;10;10;0;1;1;96;96;96;96;96;96;96;96;10;3;4;7;90;5;5;194;8;9;10;10;0,
freespinModeId_0_2,7;194;194;5;6;2;8;9;10;92;0;1;1;96;96;96;96;96;96;96;96;92;10;10;0;2;90;5;5;90;8;9;10;92;0;92;92;3;3;0;96;96;96;96;96;96;96;96;194;9;9;1;2;1;5;3;3;3;5;5;194;194;194;6;8;94;92;92;9;1;92;2;90;6;0;8;194;194;9;96;96;96;96;96;96;96;96;92;0;8;92;92;9;9;1;1;92;92;4;92,
freespinModeId_0_3,9;10;92;92;2;2;7;92;92;5;194;8;0;96;96;96;96;96;96;96;96;10;10;92;92;6;8;8;92;92;2;1;1;0;90;3;3;7;7;0;96;96;96;96;96;96;96;96;194;1;1;92;92;5;6;7;8;194;9;9;92;92;1;0;92;92;92;7;5;6;7;92;92;8;3;92;0;92;92;96;96;96;96;96;96;96;96;3;3;4;92;92;1;1;92;92;92;9;8;92,
freespinModeId_0_4,3;9;9;92;92;6;6;8;194;9;9;90;1;96;96;96;96;96;96;96;96;92;6;6;8;194;9;9;92;92;1;2;194;194;194;7;9;92;92;92;96;96;96;96;96;96;96;96;92;92;9;9;7;7;90;5;92;92;8;90;2;92;92;0;194;194;194;8;7;7;1;92;92;10;6;2;92;92;10;96;96;96;96;96;96;96;96;5;92;92;8;8;90;9;0;1;1;92;4;4,
freespinModeId_0_5,6;8;194;9;9;92;92;1;92;92;92;3;9;96;96;96;96;96;96;96;96;10;10;92;92;7;7;90;6;92;92;8;0;6;92;92;2;3;194;194;96;96;96;96;96;96;96;96;9;90;2;0;0;0;90;9;92;92;5;92;92;1;1;2;2;90;1;1;92;92;2;2;90;8;9;9;2;2;7;96;96;96;96;96;96;96;96;4;92;92;1;92;92;10;92;92;92;10;10;10,

respinCloumn_1,20;21;22;23;195;24;25;26;27;28;29;30;20;21;195;22;23;24;25;26;27;28;29;30;20;21;22;23;24;25;26;27;28;29;30,
respinCloumn_2,20;21;22;23;24;25;26;27;28;30;20;21;22;23;24;25;26;27;28;29;30;20;21;22;195;23;24;25;26;27;28;29;30,
respinCloumn_3,195;20;21;22;23;24;25;26;27;28;29;30;20;21;22;23;24;195;26;27;28;29;30;20;21;22;23;24;25;26;27;28;29;30,
respinCloumn_4,20;21;22;23;24;26;27;28;29;195;20;21;22;23;24;25;26;27;28;29;30;20;21;22;23;24;25;26;27;28;29;30,
respinCloumn_5,20;21;23;24;25;26;27;28;30;20;21;22;23;24;25;26;27;28;29;30;195;20;21;22;23;24;26;27;28;29;30;195,

init_reel1,94;94;94;94,
init_reel2,0;0;0;0,
init_reel3,0;0;0;0,
init_reel4,0;0;0;0,
init_reel5,94;94;94;94,

Socre_KoiBliss_1,#KoiBlissSymbol/Socre_KoiBliss_1.png;0;0;0.5,
Socre_KoiBliss_2,#KoiBlissSymbol/Socre_KoiBliss_2.png;0;0;0.5,
Socre_KoiBliss_3,#KoiBlissSymbol/Socre_KoiBliss_3.png;0;0;0.5,
Socre_KoiBliss_4,#KoiBlissSymbol/Socre_KoiBliss_4.png;0;0;0.5,
Socre_KoiBliss_5,#KoiBlissSymbol/Socre_KoiBliss_5.png;0;0;0.5,
Socre_KoiBliss_6,#KoiBlissSymbol/Socre_KoiBliss_6.png;0;0;0.5,
Socre_KoiBliss_7,#KoiBlissSymbol/Socre_KoiBliss_7.png;0;0;0.5,
Socre_KoiBliss_8,#KoiBlissSymbol/Socre_KoiBliss_8.png;0;0;0.5,
Socre_KoiBliss_9,#KoiBlissSymbol/Socre_KoiBliss_9.png;0;0;0.5,
Socre_KoiBliss_10,#KoiBlissSymbol/Socre_KoiBliss_10.png;0;0;0.5,
Socre_KoiBliss_11,#KoiBlissSymbol/Socre_KoiBliss_11.png;0;0;0.5,
Socre_KoiBliss_Scatter,#KoiBlissSymbol/Socre_KoiBliss_SCATTER.png;0;0;0.5,
Socre_KoiBliss_Wild,#KoiBlissSymbol/Socre_KoiBliss_WILD.png;0;0;0.5,
Score_KoiBliss_MEN,#KoiBlissSymbol/Socre_KoiBliss_MEN.png;0;0;0.5,
Socre_KoiBliss_Bouns2,#KoiBlissSymbol/Socre_KoiBliss_BONUS2.png;0;0;0.5,



bonus1_pro,1-1100;2-300;3-100;4-50;5-50;10-20;30-5

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_4,idleframe-false

SpineSymbol_90,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_91,idleframe-false
SpineSymbol_94,idleframe-false
SpineSymbol_95,idleframe-false
SpineSymbol_96,idleframe-false

SymbolBulingAnim_90,1-buling
SymbolBulingAnim_94,1-buling

SymbolBulingSound_90,KoiBlissSounds/sound_KoiBlis_scatter_buling_3.mp3-0
SymbolBulingSound_91,KoiBlissSounds/sound_KoiBlis_bonus_buling.mp3-0
SymbolBulingSound_94,KoiBlissSounds/sound_KoiBlis_bonus_buling.mp3-0
SymbolBulingSound_95,KoiBlissSounds/sound_KoiBlis_bonus_buling.mp3-0

isAllLineType,0
lineCount,
columnNum,5
rowNum,4
reelWidth,768
reelHeight,1170
scatterShowCol,1;2;3;4;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;18;21;24;27
reelEffectRes,WinFrameKoiBliss_run
reelBgEffectRes,WinFrameKoiBliss_run_bg
quickStopDelayTime,0
reelMoveSpeed,2100
reelResTime,0.15
reelDownTime,0.1
reelResDis,23
reelBeginJumpTime,0
reelBeginJumpHigh,0
musicBg,KoiBlissSounds/sound_KoiBlis_baseBgm.mp3
musicFsBg,KoiBlissSounds/sound_KoiBlis_freeBgm.mp3
musicReSpinBg,KoiBlissSounds/sound_KoiBlis_rsBgm.mp3
soundBonusTip,
soundScatterTip,KoiBlissSounds/sound_KoiBliss_scatter_trigger.mp3
soundReelDown,KoiBlissSounds/sound_KoiBlis_runStop.mp3
soundReelDownQuickStop,KoiBlissSounds/sound_KoiBlis_quick_runStop.mp3
reelRunSound,KoiBlissSounds/sound_KoiBlis_quick_run.mp3
randomSmallSymbolNum,
showScoreImage,1  
showLinesTime,2
specialSymbolList,95;90;94;92;194;195


fsReelMoveSpeed,2310
fsReelRunDatas,16;19;22;25;28
