reel_cloumn1,94;90;90;94;94;94;94;90;
reel_cloumn2,94;90;90;94;94;94;94;90;
reel_cloumn3,94;90;90;94;94;94;94;90;

Socre_LuckyRacing_1,#Symbol/Socre_LuckyRacing_1.png;0;0;0.5,
Socre_LuckyRacing_2,#Symbol/Socre_LuckyRacing_2.png;0;0;0.5,
Socre_LuckyRacing_3,#Symbol/Socre_LuckyRacing_3.png;0;0;0.5,
Socre_LuckyRacing_4,#Symbol/Socre_LuckyRacing_4.png;0;0;0.5,
Socre_LuckyRacing_5,#Symbol/Socre_LuckyRacing_5.png;0;0;0.5,
Socre_LuckyRacing_6,#Symbol/Socre_LuckyRacing_6.png;0;0;0.5,
Socre_LuckyRacing_7,#Symbol/Socre_LuckyRacing_7.png;0;0;0.5,
Socre_LuckyRacing_8,#Symbol/Socre_LuckyRacing_8.png;0;0;0.5,
Socre_LuckyRacing_9,#Symbol/Socre_LuckyRacing_9.png;0;0;0.5,
Socre_LuckyRacing_10,#Symbol/Socre_LuckyRacing_10.png;0;0;0.5,
Socre_LuckyRacing_Bonus,#Symbol/Socre_LuckyRacing_Bonus.png;0;0;0.5,
Socre_LuckyRacing_Wild,#Symbol/Socre_LuckyRacing_Wild.png;0;0;0.5,


isAllLineType,0
lineCount,50
columnNum,3
rowNum,3
reelWidth,
reelHeight,
scatterShowCol,
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;22;29
reelEffectRes,
reelBgEffectRes,
quickStopDelayTime,0
reelMoveSpeed,2600
reelResTime,0.3
reelDownTime,0.1
reelResDis,20
reelLongRunSpeed,4000
reelLongRunTime,2.5
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,
musicFsBg,
musicReSpinBg,
soundScatterTip,LuckyRacingSounds/sound_LuckyRacing_scatter_tip.mp3
soundBonusTip,
soundReelDown,
reelRunSound,
randomSmallSymbolNum,
showScoreImage,0  
showLinesTime,2

