reel_cloumn1,5;1;1;6;1;0;4;6;95;95;1;6;5;0;6;0;5;6;92;92;92;92;92;92;92;92;92;4;2;0;0;5;95;95;0;5;4;1;4;92;1;6;4;4;4;1;1;0;3;1;95;95;5;5;5;2;4;4;5;6;0;4;5;4;3;95;95;3;0;1;4;6;6;2;3;5;92;4;5;6;0;0;4;0;2;3;0;6;1;95;95;6;4;2;6;6;5;4;6;6;6;0;5;1;1;0;3;4;5;
reel_cloumn2,5;5;0;6;6;0;1;5;94;95;6;2;5;0;0;6;3;92;92;92;92;92;92;92;92;92;6;0;3;92;2;2;3;3;2;6;94;95;3;6;3;3;92;6;6;6;2;4;5;2;3;94;95;6;3;5;4;3;4;6;2;5;0;3;0;6;94;95;4;3;1;0;6;2;0;96;96;5;0;6;5;3;0;6;0;4;6;6;0;5;3;6;1;6;0;96;96;2;5;5;0;2;6;6;5;1;0;0;5;
reel_cloumn3,6;0;2;4;6;94;94;6;3;3;4;2;92;0;4;6;6;0;2;5;2;94;94;2;1;3;4;4;4;2;4;92;2;3;6;94;94;3;4;2;3;0;4;5;3;92;92;92;92;92;92;92;92;92;1;3;3;6;6;5;1;3;2;2;94;94;5;4;2;1;4;6;0;4;2;4;3;4;6;94;94;3;6;2;1;6;1;2;3;2;3;2;3;4;4;94;94;3;1;2;3;4;2;6;3;2;6;2;6;
reel_cloumn4,0;5;1;0;4;5;4;3;5;94;94;2;4;2;3;3;3;2;95;96;3;1;3;0;5;6;2;2;6;5;5;4;5;92;92;92;92;92;92;92;92;92;92;1;2;3;4;2;5;3;3;94;94;1;5;4;4;5;2;6;0;4;0;94;94;0;3;6;2;0;6;3;4;92;6;2;1;2;5;2;95;96;4;2;1;4;6;3;5;4;4;2;1;1;4;95;96;0;3;6;6;4;1;0;4;3;5;4;1;
reel_cloumn5,0;6;5;4;96;96;3;4;0;2;3;96;96;2;5;4;3;1;2;0;5;6;2;2;5;4;96;96;3;4;4;1;1;2;92;3;2;4;6;1;2;1;4;4;96;3;4;2;6;3;0;2;2;0;96;96;3;0;5;4;6;6;3;92;5;6;1;96;2;5;4;1;3;3;96;4;1;6;2;5;4;3;3;1;1;4;6;96;2;5;5;0;6;0;6;4;3;4;3;1;92;92;92;92;92;92;92;92;92;

freespinModeId_0_1,5;1;1;6;1;0;4;6;95;95;1;6;5;0;6;0;5;6;4;2;0;0;5;95;95;0;5;4;1;4;92;1;6;4;4;4;1;1;0;3;1;95;95;5;5;5;2;4;4;5;6;0;4;5;4;3;95;95;3;0;1;4;6;6;2;3;5;92;4;5;6;0;0;4;0;2;3;0;6;1;95;95;6;4;2;6;6;5;4;6;6;6;0;5;1;1;0;3;4;5,
freespinModeId_0_2,5;5;0;6;6;0;1;5;94;95;6;2;5;0;0;6;3;6;0;3;92;2;2;3;3;2;6;94;95;3;6;3;3;92;6;6;6;2;4;5;2;3;94;95;6;3;5;4;3;4;6;2;5;0;3;0;6;94;95;4;3;1;0;6;2;0;96;96;5;0;6;5;3;0;6;0;4;6;6;0;5;3;6;1;6;0;96;96;2;5;5;0;2;6;6;5;1;0;0;5,
freespinModeId_0_3,6;0;2;4;6;94;94;6;3;3;4;2;92;0;4;6;6;0;2;5;2;94;94;2;1;3;4;4;4;2;4;92;2;3;6;94;94;3;4;2;3;0;4;5;3;1;3;3;6;6;5;1;3;2;2;94;94;5;4;2;1;4;6;0;4;2;4;3;4;6;94;94;3;6;2;1;6;1;2;3;2;3;2;3;4;4;94;94;3;1;2;3;4;2;6;3;2;6;2;6,
freespinModeId_0_4,0;5;1;0;4;5;4;3;5;94;94;2;4;2;3;3;3;2;95;96;3;1;3;0;5;6;2;2;6;5;5;4;5;92;1;2;3;4;2;5;3;3;94;94;1;5;4;4;5;2;6;0;4;0;94;94;0;3;6;2;0;6;3;4;92;6;2;1;2;5;2;95;96;4;2;1;4;6;3;5;4;4;2;1;1;4;95;96;0;3;6;6;4;1;0;4;3;5;4;1,
freespinModeId_0_5,0;6;5;4;96;96;3;4;0;2;3;96;96;2;5;4;3;1;2;0;5;6;2;2;5;4;96;96;3;4;4;1;1;2;92;3;2;4;6;1;2;1;4;4;96;3;4;2;6;3;0;2;2;0;96;96;3;0;5;4;6;6;3;92;5;6;1;96;2;5;4;1;3;3;96;4;1;6;2;5;4;3;3;1;1;4;6;96;2;5;5;0;6;0;6;4;3;4;3;1,


Base_wild_pro,1-90;2-10;3-0;5-0,
Base_score9_pro,1-80;2-10;3-0;5-10,
Base_score8_pro,1-80;2-10;3-0;5-10,
