reel_cloumn1,4;0;0;94;0;1;2;3;3;9;6;92;3;5;5;0;0;0;92;9;8;0;1;94;0;3;5;5;6;2;2;2;3;3;3;0;1;1;3;5;5;6;2;3;94;3;3;0;0;1;2;2,
reel_cloumn2,2;1;4;96;96;96;7;7;92;0;0;90;9;97;97;97;0;5;92;6;3;96;96;4;9;97;6;2;97;6;96;0;0;90;92;3;3;90;6;6;2;2;97;6;0;0;5;92;92;92;1;1,
reel_cloumn3,2;1;4;96;96;96;7;7;92;0;0;90;9;97;97;97;1;8;92;7;3;96;96;4;9;97;6;2;97;6;96;0;0;90;92;3;3;90;6;6;2;2;97;6;0;0;5;92;92;92;0;0,
reel_cloumn4,2;1;4;96;96;96;7;7;92;0;0;90;9;97;97;97;3;5;92;9;3;96;96;4;9;97;6;2;97;6;96;0;0;90;92;3;3;90;6;6;2;2;97;6;0;0;5;92;92;92;0;0,
reel_cloumn5,4;0;0;95;0;1;2;3;3;9;6;92;3;5;5;0;0;8;92;9;8;0;1;95;0;3;5;5;92;2;2;2;3;3;3;0;1;1;3;3;5;6;2;3;95;3;3;3;0;1;1;1,

freespinModeId_0_1,4;0;92;7;98;1;2;2;3;9;6;92;3;5;7;0;0;0;92;9;8;0;1;98;0;3;5;92;6;2;2;2;3;3;98;0;1;1;3;92;5;6;2;2;2;3;3;98;0;92;1;2,
freespinModeId_0_2,2;1;92;96;96;96;7;7;97;2;0;92;9;97;96;96;0;5;92;6;3;96;1;4;9;97;6;92;6;6;97;97;0;97;96;96;3;0;92;6;2;96;96;96;0;0;97;97;3;92;92;92,
freespinModeId_0_3,2;1;92;96;96;96;7;7;97;2;0;92;9;97;96;96;1;8;92;7;3;96;1;4;9;97;6;92;6;6;97;97;0;97;96;96;3;0;92;6;2;96;96;96;0;0;97;97;3;92;92;92,
freespinModeId_0_4,2;1;92;96;96;96;7;7;97;2;0;92;9;97;96;96;3;5;92;9;3;96;1;4;9;97;6;92;6;6;97;97;0;97;96;96;3;0;92;6;2;96;96;96;0;0;97;97;3;92;92;92,
freespinModeId_0_5,4;0;92;7;99;1;2;2;3;9;6;92;3;5;7;0;0;8;92;9;8;0;1;99;0;3;5;92;6;2;2;2;3;3;99;0;1;1;3;5;5;6;2;2;2;3;3;99;0;1;1;1,

BN_Base1_pro,1000-1;100-5;50-34;20-100;10-360;4-1000;2-2100;1.5-5500;1-25000;0.8-35000;0.5-70000,
BN_Base2_pro,100-5;50-34;20-100;10-360;4-1000;2-2100;1.5-5500;1-25000;0.8-35000;0.5-70000,

BN_Base3_pro,1000-1;100-2;50-4;20-6;10-8;4-40;2-30;1.5-30;1-20;0.8-20,
BN_Base4_pro,1000-1;100-2;50-4;20-6;10-8;4-40;2-40;1.5-30;1-30;0.8-20;0.5-20,

init_reel1,0;0;94;0;0
init_reel2,92;92;92;92;92
init_reel3,92;92;92;92;92
init_reel4,92;92;92;92;92
init_reel5,1;1;95;1;1

Socre_MagneticBreakIn_1,#MagneticBreakInSymbol/Socre_MagneticBreakIn_1.png;0;0;0.5,
Socre_MagneticBreakIn_2,#MagneticBreakInSymbol/Socre_MagneticBreakIn_2.png;0;0;0.5,
Socre_MagneticBreakIn_3,#MagneticBreakInSymbol/Socre_MagneticBreakIn_3.png;0;0;0.5,
Socre_MagneticBreakIn_4,#MagneticBreakInSymbol/Socre_MagneticBreakIn_4.png;0;0;0.5,
Socre_MagneticBreakIn_5,#MagneticBreakInSymbol/Socre_MagneticBreakIn_5.png;0;0;0.5,
Socre_MagneticBreakIn_6,#MagneticBreakInSymbol/Socre_MagneticBreakIn_6.png;0;0;0.5,
Socre_MagneticBreakIn_7,#MagneticBreakInSymbol/Socre_MagneticBreakIn_7.png;0;0;0.5,
Socre_MagneticBreakIn_8,#MagneticBreakInSymbol/Socre_MagneticBreakIn_8.png;0;0;0.5,
Socre_MagneticBreakIn_9,#MagneticBreakInSymbol/Socre_MagneticBreakIn_9.png;0;0;0.5,
Socre_MagneticBreakIn_10,#MagneticBreakInSymbol/Socre_MagneticBreakIn_10.png;0;0;0.5,
Socre_MagneticBreakIn_Wild,#MagneticBreakInSymbol/Socre_MagneticBreakIn_wild.png;0;0;0.5,


SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_94,idleframe-false
SpineSymbol_95,idleframe-false
SpineSymbol_96,idleframe-false
SpineSymbol_97,idleframe-false
SpineSymbol_98,idleframe-false
SpineSymbol_99,idleframe-false

SymbolBulingAnim_90,1-buling
SymbolBulingAnim_94,1-buling
SymbolBulingAnim_95,1-buling
SymbolBulingAnim_96,1-buling
SymbolBulingAnim_97,1-buling

SymbolBulingSound_90,MagneticBreakInSounds/sound_MagneticBreakIn_scatter_buling.mp3-0
SymbolBulingSound_94,MagneticBreakInSounds/sound_MagneticBreakIn_Magnetic_buling.mp3-0
SymbolBulingSound_95,MagneticBreakInSounds/sound_MagneticBreakIn_Magnetic_buling.mp3-0
SymbolBulingSound_96,MagneticBreakInSounds/sound_MagneticBreakIn_bonus_buling.mp3-0
SymbolBulingSound_97,MagneticBreakInSounds/sound_MagneticBreakIn_bonus_buling.mp3-0


isAllLineType,0
lineCount,75
columnNum,5
rowNum,5
reelWidth,
reelHeight,
scatterShowCol,2;3;4
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;18;21;24;27
reelEffectRes,WinFrameMagneticBreakIn_run
reelBgEffectRes,WinFrameMagneticBreakIn_run_bg
quickStopDelayTime,0
reelMoveSpeed,2170
reelResTime,0.15
reelDownTime,0.1
reelResDis,24
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,MagneticBreakInSounds/music_MagneticBreakIn_base_bg.mp3
musicFsBg,MagneticBreakInSounds/music_MagneticBreakIn_free_bg.mp3
soundScatterTip,
soundBonusTip,
soundReelDown,MagneticBreakInSounds/sound_Magnetic_reel_down.mp3
soundReelDownQuickStop,MagneticBreakInSounds/sound_Magnetic_reel_down_quick.mp3
reelRunSound,MagneticBreakInSounds/sound_Magnetic_quick_run.mp3
randomSmallSymbolNum,9
showScoreImage,1
showLinesTime,2
specialSymbolList,90;94;95;96;97;98;99

fsReelMoveSpeed,2387
fsReelRunDatas,16;19;22;25;28
