reel_cloumn1,9;8;0;0;0;6;92;9;3;8;102;102;102;7;8;3;9;0;92;6;3;7;102;102;102;102;102;102;102;102;102;102;102;8;9;4;7;0;8;6;92;7;8;3;0;6;2;9;3;10;9;102;102;102;7;4;0;6;3;5;9;92;0;3;7;6;3;7;0;8;6;90;7;4;0;0;3;90;0;8;4;1;7;8,
reel_cloumn2,5;5;0;0;0;8;92;9;4;4;102;102;102;6;2;10;5;7;92;7;4;4;102;102;102;102;102;102;102;102;102;102;102;4;9;5;3;4;9;5;4;9;4;9;90;3;9;9;4;5;9;102;102;102;9;3;5;9;4;9;92;5;4;10;4;5;9;3;2;1;3;90;5;4;0;0;9;90;9;3,
reel_cloumn3,8;9;0;0;0;3;92;0;9;8;102;102;102;4;6;9;3;10;92;2;3;10;102;102;102;102;102;102;102;102;102;102;102;3;10;9;10;3;9;8;9;8;2;9;7;3;9;4;9;3;3;102;102;102;3;9;4;8;10;4;9;3;3;4;9;10;90;3;10;90;9;3;7;4;0;0;6;90;10;92;2;10;3;1;4;3;10;5;4;8,
reel_cloumn4,0;0;0;0;0;6;92;1;0;0;102;102;102;7;0;0;1;7;92;10;6;10;102;102;102;102;102;102;102;102;102;102;102;3;2;10;2;10;90;10;2;2;10;10;9;1;10;92;1;1;10;102;102;102;2;10;5;8;92;10;5;5;1;10;5;92;9;5;1;90;5;10;5;4;0;0;1;90;2;7,
reel_cloumn5,0;0;0;0;0;0;92;0;2;0;102;102;102;0;0;4;5;0;92;2;0;0;102;102;102;102;102;102;102;102;102;102;102;3;5;90;5;3;4;3;2;3;4;3;92;3;2;2;2;4;3;102;102;102;4;3;2;0;0;4;9;92;2;4;4;3;2;4;90;2;4;4;3;8;0;0;3;90;4;3;2;4;5;3;4;4;1;4;2;7;90;6,

freespinModeId_0_1,9;8;0;0;0;6;92;9;3;8;102;102;102;7;8;3;9;0;92;6;3;7;102;102;102;102;102;102;102;102;102;102;102;8;9;4;7;0;8;6;92;7;8;3;0;6;2;9;3;10;9;102;102;102;7;4;0;6;3;5;9;92;0;3;7;6;3;7;0;8;6;90;7;4;0;0;3;90;0;8;4;1;7;8,
freespinModeId_0_2,5;5;0;0;0;8;92;9;4;4;102;102;102;6;2;10;5;7;92;7;4;4;102;102;102;102;102;102;102;102;102;102;102;4;9;5;3;4;9;5;4;9;4;9;90;3;9;9;4;5;9;102;102;102;9;3;5;9;4;9;92;5;4;10;4;5;9;3;2;1;3;90;5;4;0;0;9;90;9;3,
freespinModeId_0_3,8;9;0;0;0;3;92;0;9;8;102;102;102;4;6;9;3;10;92;2;3;10;102;102;102;102;102;102;102;102;102;102;102;3;10;9;10;3;9;8;9;8;2;9;7;3;9;4;9;3;3;102;102;102;3;9;4;8;10;4;9;3;3;4;9;10;90;3;10;90;9;3;7;4;0;0;6;90;10;92;2;10;3;1;4;3;10;5;4;8,
freespinModeId_0_4,0;0;0;0;0;6;92;1;0;0;102;102;102;7;0;0;1;7;92;10;6;10;102;102;102;102;102;102;102;102;102;102;102;3;2;10;2;10;90;10;2;2;10;10;9;1;10;92;1;1;10;102;102;102;2;10;5;8;92;10;5;5;1;10;5;92;9;5;1;90;5;10;5;4;0;0;1;90;2;7,
freespinModeId_0_5,0;0;0;0;0;0;92;0;2;0;102;102;102;0;0;4;5;0;92;2;0;0;102;102;102;102;102;102;102;102;102;102;102;3;5;90;5;3;4;3;2;3;4;3;92;3;2;2;2;4;3;102;102;102;4;3;2;0;0;4;9;92;2;4;4;3;2;4;90;2;4;4;3;8;0;0;3;90;4;3;2;4;5;3;4;4;1;4;2;7;90;6,

Socre_MedusaRise_1,#Symbol/MedusaRise_L4.png;0;0;0.5,
Socre_MedusaRise_2,#Symbol/MedusaRise_L3.png;0;0;0.5,
Socre_MedusaRise_3,#Symbol/MedusaRise_L2.png;0;0;0.5,
Socre_MedusaRise_4,#Symbol/MedusaRise_L1.png;0;0;0.5,
Socre_MedusaRise_5,#Symbol/MedusaRise_M2.png;0;0;0.5,
Socre_MedusaRise_6,#Symbol/MedusaRise_M1.png;0;0;0.5,
Socre_MedusaRise_7,#Symbol/MedusaRise_H3.png;0;0;0.5,
Socre_MedusaRise_8,#Symbol/MedusaRise_H2.png;0;0;0.5,
Socre_MedusaRise_9,#Symbol/MedusaRise_H1.png;0;0;0.5,
Socre_MedusaRise_10,#Symbol/MedusaRise_L5.png;0;0;0.5,
Socre_MedusaRise_11,#Symbol/MedusaRise_L6.png;0;0;0.5,
Socre_MedusaRise_Scatter,#Symbol/MedusaRise_Scatter.png;0;0;0.5,
Socre_MedusaRise_Wild1,#Symbol/MedusaRise_Wild1.png;0;0;0.5,
Socre_MedusaRise_Wild2,#Symbol/MedusaRise_Wild2.png;0;0;0.5,
Socre_MedusaRise_Wild3,#Symbol/MedusaRise_Wild3.png;0;0;0.5,

SpineSymbol_90,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_102,idleframe-false
SpineSymbol_103,idleframe-false

isAllLineType,0
lineCount,20
columnNum,5
rowNum,3
scatterShowCol,1;2;3;4;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,12;18;24;30;36
reelEffectRes,MedusaRise_run
quickStopDelayTime,0
reelMoveSpeed,2400
reelResTime,0.2
reelDownTime,0.1
reelResDis,33
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,MedusaRiseSounds/music_MedusaRise_normal_bgm.mp3
musicFsBg,MedusaRiseSounds/music_MedusaRise_fs_bgm.mp3
musicReSpinBg,MedusaRiseSounds/
soundScatterTip,MedusaRiseSounds/sound_MedusaRise_trigger_fs.mp3
soundBonusTip,MedusaRiseSounds/
soundReelDown,MedusaRiseSounds/sound_MedusaRise_reel_down.mp3
randomSmallSymbolNum,
showScoreImage,1
showLinesTime,3
specialSymbolList,90


