reel_cloumn1,111;100;100;100;100;112;100;100;100;114;100;100;100;100;113;100;100;100;100;100;111;100;100;100;114;100;100;100;100;112;100;100;100;111;100;100;100;100;111;100;100;100;100;100;113;100;100;100;111;100;100;100;100;114;100;100;100;112;100;100;100;100;111;100;100;100;111;100;100;100;100;112;100;100;100;114;100;100;100;113;100;100;100;111;100;100;100;100;112;100;100;100;100;113;100;100;100;114;100;100;
reel_cloumn2,111;100;100;100;100;100;100;111;100;100;100;100;100;113;100;100;100;111;100;100;112;100;100;100;114;100;100;100;100;113;100;100;100;100;100;114;111;100;100;100;114;100;100;100;100;112;100;100;100;111;100;100;100;100;112;100;100;100;114;100;100;100;113;100;100;100;111;100;100;100;100;112;100;100;100;100;111;100;100;100;100;113;100;100;100;114;100;100;100;100;100;112;100;100;100;100;111;100;100;100;
reel_cloumn3,112;100;100;100;111;100;100;112;100;100;100;114;100;100;100;100;113;100;100;100;111;100;100;100;100;114;100;100;100;100;113;100;100;100;111;100;100;100;112;100;100;100;100;113;100;100;100;114;100;100;111;100;100;100;111;100;100;113;100;100;100;111;100;100;100;100;114;100;100;111;100;100;100;100;112;100;100;113;100;100;100;111;100;100;100;100;100;100;100;100;112;100;100;100;114;100;100;100;100;100;
reel_cloumn4,111;100;100;100;112;100;100;100;111;100;100;100;100;111;100;100;100;100;112;100;100;100;114;100;100;100;100;113;100;100;100;100;100;111;100;100;100;114;100;100;100;100;100;100;113;100;100;100;111;100;100;100;100;114;100;100;100;112;100;100;100;100;111;100;100;100;111;100;100;100;100;112;100;100;100;114;100;100;112;100;100;100;100;113;100;100;100;100;100;113;100;100;100;111;100;100;100;114;100;100;
reel_cloumn5,112;100;100;100;111;100;100;100;100;113;100;100;100;111;100;100;100;100;114;100;100;100;111;100;100;100;100;112;100;100;100;111;100;100;100;100;100;114;100;100;100;100;113;100;100;100;111;100;100;100;114;100;100;100;100;112;100;100;100;100;111;100;100;112;100;100;113;100;100;100;111;100;100;100;100;112;100;100;100;100;100;114;100;100;100;111;100;100;100;114;100;100;100;113;100;100;100;114;100;100;

SpineSymbol_111,idleframe-false
SpineSymbol_112,idleframe-false
SpineSymbol_113,idleframe-false
SpineSymbol_114,idleframe-false

isAllLineType,0
lineCount,
columnNum,5
rowNum,4
reelWidth,
reelHeight,
scatterShowCol,1;3;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,
reelBgEffectRes,
quickStopDelayTime,0
reelMoveSpeed,2048
reelResTime,0.15
reelDownTime,0.1
reelResDis,21
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,
musicFsBg,
musicReSpinBg,
soundScatterTip,
soundBonusTip,
soundReelDown,MiningManiaSounds/music_MiningMania_reelDown.mp3
reelRunSound,
SymbolBulingSound_111,MiningManiaSounds/MiningMania_bonusReel_buling.mp3-0
SymbolBulingSound_112,MiningManiaSounds/MiningMania_bonusReel_buling.mp3-0
SymbolBulingSound_113,MiningManiaSounds/MiningMania_bonusReel_buling.mp3-0
SymbolBulingSound_114,MiningManiaSounds/MiningMania_bonusReel_buling.mp3-0
randomSmallSymbolNum,
showScoreImage,1
showLinesTime,2

fsReelMoveSpeed,2288
fsReelRunDatas,17;21;25;29;33

SymbolBulingAnim_111,1-buling
SymbolBulingAnim_112,1-buling
SymbolBulingAnim_113,1-buling
SymbolBulingAnim_114,1-buling
