reel_cloumn1,92;1;5;6;7;92;92;1;3;6;7;2;6;92;4;4;4;5;6;1;3;8;0;1;5;6;92;3;4;7;5;8;5;7;7;7;92;92;2;3;0;1;2;3;6;7;8;0;0;8;7;6;0;3;8;8;8;3;3;8;8;8;3;1;2;92;6;5;3;3;4;5;6;92;92;92;5;5;5;5;2;0;5;0;1;8;1;92;7;0;1;8;0;3;6;1;2;5;0;2;7;3;2;6;5;1;0;5;2;1;4;0;0;7;8;1;1;6,
reel_cloumn2,92;1;5;6;7;92;92;0;1;4;5;2;92;92;92;5;8;3;1;5;4;6;0;3;8;5;1;6;92;3;8;5;2;0;5;7;92;92;6;5;0;1;2;1;0;3;92;6;6;6;6;6;6;0;0;0;3;3;3;8;8;2;2;8;8;92;8;3;0;4;4;4;4;92;92;4;4;5;0;2;5;5;5;5;5;2;0;92;0;1;8;1;2;7;0;1;8;0;3;6;1;2;5;0;2;7,
reel_cloumn3,92;1;5;6;7;92;92;2;0;7;8;2;3;92;5;6;2;4;1;0;5;4;6;3;92;6;8;5;2;7;2;1;6;1;3;92;92;92;1;1;0;0;0;6;6;92;6;6;6;0;3;3;3;8;8;2;8;8;92;1;2;4;4;4;3;92;4;0;0;4;3;1;4;92;92;5;2;8;5;5;5;92;7;7;7;2;1;92;4;3;2;4;1;0;5;0;2;6;1;3;7;0;3;8;2;3;4;6;3;2;6;5;1;0;5;2;1;4;0;0;7;8;1;1;6,
reel_cloumn4,92;1;5;6;7;92;92;1;6;5;7;3;0;92;1;2;6;6;6;4;1;8;7;6;6;1;0;0;1;4;6;7;2;2;2;2;92;92;3;3;6;1;5;92;7;7;7;7;2;0;0;0;0;1;1;1;1;6;6;6;6;92;6;3;7;92;7;7;7;7;3;3;3;92;92;92;2;3;8;8;8;1;2;2;8;8;8;92;7;8,
reel_cloumn5,92;1;5;6;7;92;92;0;6;2;3;8;2;92;2;4;4;4;5;6;1;3;8;0;1;5;6;2;3;4;7;92;8;5;7;7;92;92;7;2;2;2;1;1;1;6;6;92;6;6;6;0;0;0;3;3;3;8;8;8;8;8;8;2;2;92;3;3;3;4;4;4;92;92;92;5;5;5;5;5;5,


freespinModeId_0_1,92;1;5;6;7;92;92;1;3;6;7;2;6;92;4;4;4;5;6;1;3;8;0;1;5;6;92;3;4;7;5;8;5;7;7;7;92;92;2;3;0;1;2;3;6;7;8;0;0;8;7;6;0;3;8;8;8;3;3;8;8;8;3;1;2;92;6;5;3;3;4;5;6;92;92;92;5;5;5;5;2;0;5;0;1;8;1;92;7;0;1;8;0;3;6;1;2;5;0;2;7;3;2;6;5;1;0;5;2;1;4;0;0;7;8;1;1;6,
freespinModeId_0_2,92;1;5;6;7;92;92;0;1;4;5;2;92;92;92;5;8;3;1;5;4;6;0;3;8;5;1;6;92;3;8;5;2;0;5;7;92;92;6;5;0;1;2;1;0;3;92;6;6;6;6;6;6;0;0;0;3;3;3;8;8;2;2;8;8;92;8;3;0;4;4;4;4;92;92;4;4;5;0;2;5;5;5;5;5;2;0;92;0;1;8;1;2;7;0;1;8;0;3;6;1;2;5;0;2;7,
freespinModeId_0_3,92;1;5;6;7;92;92;2;0;7;8;2;3;92;5;6;2;4;1;0;5;4;6;3;92;6;8;5;2;7;2;1;6;1;3;92;92;92;1;1;0;0;0;6;6;92;6;6;6;0;3;3;3;8;8;2;8;8;92;1;2;4;4;4;3;92;4;0;0;4;3;1;4;92;92;5;2;8;5;5;5;92;7;7;7;2;1;92;4;3;2;4;1;0;5;0;2;6;1;3;7;0;3;8;2;3;4;6;3;2;6;5;1;0;5;2;1;4;0;0;7;8;1;1;6,
freespinModeId_0_4,92;1;5;6;7;92;92;1;6;5;7;3;0;92;1;2;6;6;6;4;1;8;7;6;6;1;0;0;1;4;6;7;2;2;2;2;92;92;3;3;6;1;5;92;7;7;7;7;2;0;0;0;0;1;1;1;1;6;6;6;6;92;6;3;7;92;7;7;7;7;3;3;3;92;92;92;2;3;8;8;8;1;2;2;8;8;8;92;7;8,
freespinModeId_0_5,92;1;5;6;7;92;92;0;6;2;3;8;2;92;2;4;4;4;5;6;1;3;8;0;1;5;6;2;3;4;7;92;8;5;7;7;92;92;7;2;2;2;1;1;1;6;6;92;6;6;6;0;0;0;3;3;3;8;8;8;8;8;8;2;2;92;3;3;3;4;4;4;92;92;92;5;5;5;5;5;5,


Normal_Reel_1,92-1;1-1;5-1;6-1;7-1;92-1;92-1;1-1;3-1;6-1;7-1;2-1;6-1;92-1;4-1;4-1;4-1;5-1;6-1;1-1;3-1;8-1;0-1;1-1;5-1;6-1;92-1;3-1;4-1;7-1;5-1;8-1;5-1;7-1;7-1;7-1;92-1;92-1;2-1;3-1;0-1;1-1;2-1;3-1;6-1;7-1;8-1;0-1;0-1;8-1;7-1;6-1;0-1;3-1;8-1;8-1;8-1;3-1;3-1;8-1;8-1;8-1;3-1;1-1;2-1;92-1;6-1;5-1;3-1;3-1;4-1;5-1;6-1;92-1;92-1;92-1;5-1;5-1;5-1;5-1;2-1;0-1;5-1;0-1;1-1;8-1;1-1;92-1;7-1;0-1;1-1;8-1;0-1;3-1;6-1;1-1;2-1;5-1;0-1;2-1;7-1;3-1;2-1;6-1;5-1;1-1;0-1;5-1;2-1;1-1;4-1;0-1;0-1;7-1;8-1;1-1;1-1;6-1,
Normal_Reel_2,92-1;1-1;5-1;6-1;7-1;92-1;92-1;0-1;1-1;4-1;5-1;2-1;92-1;92-1;92-1;5-1;8-1;3-1;1-1;5-1;4-1;6-1;0-1;3-1;8-1;5-1;1-1;6-1;92-1;3-1;8-1;5-1;2-1;0-1;5-1;7-1;92-1;92-1;6-1;5-1;0-1;1-1;2-1;1-1;0-1;3-1;92-1;6-1;6-1;6-1;6-1;6-1;6-1;0-1;0-1;0-1;3-1;3-1;3-1;8-1;8-1;2-1;2-1;8-1;8-1;92-1;8-1;3-1;0-1;4-1;4-1;4-1;4-1;92-1;92-1;4-1;4-1;5-1;0-1;2-1;5-1;5-1;5-1;5-1;5-1;2-1;0-1;92-1;0-1;1-1;8-1;1-1;2-1;7-1;0-1;1-1;8-1;0-1;3-1;6-1;1-1;2-1;5-1;0-1;2-1;7-1,
Normal_Reel_3,92-1;1-1;5-1;6-1;7-1;92-1;92-1;2-1;0-1;7-1;8-1;2-1;3-1;92-1;5-1;6-1;2-1;4-1;1-1;0-1;5-1;4-1;6-1;3-1;92-1;6-1;8-1;5-1;2-1;7-1;2-1;1-1;6-1;1-1;3-1;92-1;92-1;92-1;1-1;1-1;0-1;0-1;0-1;6-1;6-1;92-1;6-1;6-1;6-1;0-1;3-1;3-1;3-1;8-1;8-1;2-1;8-1;8-1;92-1;1-1;2-1;4-1;4-1;4-1;3-1;92-1;4-1;0-1;0-1;4-1;3-1;1-1;4-1;92-1;92-1;5-1;2-1;8-1;5-1;5-1;5-1;92-1;7-1;7-1;7-1;2-1;1-1;92-1;4-1;3-1;2-1;4-1;1-1;0-1;5-1;0-1;2-1;6-1;1-1;3-1;7-1;0-1;3-1;8-1;2-1;3-1;4-1;6-1;3-1;2-1;6-1;5-1;1-1;0-1;5-1;2-1;1-1;4-1;0-1;0-1;7-1;8-1;1-1;1-1;6-1,
Normal_Reel_4,92-1;1-1;5-1;6-1;7-1;92-1;92-1;1-1;6-1;5-1;7-1;3-1;0-1;92-1;1-1;2-1;6-1;6-1;6-1;4-1;1-1;8-1;7-1;6-1;6-1;1-1;0-1;0-1;1-1;4-1;6-1;7-1;2-1;2-1;2-1;2-1;92-1;92-1;3-1;3-1;6-1;1-1;5-1;92-1;7-1;7-1;7-1;7-1;2-1;0-1;0-1;0-1;0-1;1-1;1-1;1-1;1-1;6-1;6-1;6-1;6-1;92-1;6-1;3-1;7-1;92-1;7-1;7-1;7-1;7-1;3-1;3-1;3-1;92-1;92-1;92-1;2-1;3-1;8-1;8-1;8-1;1-1;2-1;2-1;8-1;8-1;8-1;92-1;7-1;8-1,
Normal_Reel_5,92-1;1-1;5-1;6-1;7-1;92-1;92-1;0-1;6-1;2-1;3-1;8-1;2-1;92-1;2-1;4-1;4-1;4-1;5-1;6-1;1-1;3-1;8-1;0-1;1-1;5-1;6-1;2-1;3-1;4-1;7-1;92-1;8-1;5-1;7-1;7-1;92-1;92-1;7-1;2-1;2-1;2-1;1-1;1-1;1-1;6-1;6-1;92-1;6-1;6-1;6-1;0-1;0-1;0-1;3-1;3-1;3-1;8-1;8-1;8-1;8-1;8-1;8-1;2-1;2-1;92-1;3-1;3-1;3-1;4-1;4-1;4-1;92-1;92-1;92-1;5-1;5-1;5-1;5-1;5-1;5-1,

FreeSpin_Reel_1,92-1;1-1;5-1;6-1;7-1;92-1;92-1;1-1;3-1;6-1;7-1;2-1;6-1;92-1;4-1;4-1;4-1;5-1;6-1;1-1;3-1;8-1;0-1;1-1;5-1;6-1;92-1;3-1;4-1;7-1;5-1;8-1;5-1;7-1;7-1;7-1;92-1;92-1;2-1;3-1;0-1;1-1;2-1;3-1;6-1;7-1;8-1;0-1;0-1;8-1;7-1;6-1;0-1;3-1;8-1;8-1;8-1;3-1;3-1;8-1;8-1;8-1;3-1;1-1;2-1;92-1;6-1;5-1;3-1;3-1;4-1;5-1;6-1;92-1;92-1;92-1;5-1;5-1;5-1;5-1;2-1;0-1;5-1;0-1;1-1;8-1;1-1;92-1;7-1;0-1;1-1;8-1;0-1;3-1;6-1;1-1;2-1;5-1;0-1;2-1;7-1;3-1;2-1;6-1;5-1;1-1;0-1;5-1;2-1;1-1;4-1;0-1;0-1;7-1;8-1;1-1;1-1;6-1,
FreeSpin_Reel_2,92-1;1-1;5-1;6-1;7-1;92-1;92-1;0-1;1-1;4-1;5-1;2-1;92-1;92-1;92-1;5-1;8-1;3-1;1-1;5-1;4-1;6-1;0-1;3-1;8-1;5-1;1-1;6-1;92-1;3-1;8-1;5-1;2-1;0-1;5-1;7-1;92-1;92-1;6-1;5-1;0-1;1-1;2-1;1-1;0-1;3-1;92-1;6-1;6-1;6-1;6-1;6-1;6-1;0-1;0-1;0-1;3-1;3-1;3-1;8-1;8-1;2-1;2-1;8-1;8-1;92-1;8-1;3-1;0-1;4-1;4-1;4-1;4-1;92-1;92-1;4-1;4-1;5-1;0-1;2-1;5-1;5-1;5-1;5-1;5-1;2-1;0-1;92-1;0-1;1-1;8-1;1-1;2-1;7-1;0-1;1-1;8-1;0-1;3-1;6-1;1-1;2-1;5-1;0-1;2-1;7-1,
FreeSpin_Reel_3,92-1;1-1;5-1;6-1;7-1;92-1;92-1;2-1;0-1;7-1;8-1;2-1;3-1;92-1;5-1;6-1;2-1;4-1;1-1;0-1;5-1;4-1;6-1;3-1;92-1;6-1;8-1;5-1;2-1;7-1;2-1;1-1;6-1;1-1;3-1;92-1;92-1;92-1;1-1;1-1;0-1;0-1;0-1;6-1;6-1;92-1;6-1;6-1;6-1;0-1;3-1;3-1;3-1;8-1;8-1;2-1;8-1;8-1;92-1;1-1;2-1;4-1;4-1;4-1;3-1;92-1;4-1;0-1;0-1;4-1;3-1;1-1;4-1;92-1;92-1;5-1;2-1;8-1;5-1;5-1;5-1;92-1;7-1;7-1;7-1;2-1;1-1;92-1;4-1;3-1;2-1;4-1;1-1;0-1;5-1;0-1;2-1;6-1;1-1;3-1;7-1;0-1;3-1;8-1;2-1;3-1;4-1;6-1;3-1;2-1;6-1;5-1;1-1;0-1;5-1;2-1;1-1;4-1;0-1;0-1;7-1;8-1;1-1;1-1;6-1,
FreeSpin_Reel_4,92-1;1-1;5-1;6-1;7-1;92-1;92-1;1-1;6-1;5-1;7-1;3-1;0-1;92-1;1-1;2-1;6-1;6-1;6-1;4-1;1-1;8-1;7-1;6-1;6-1;1-1;0-1;0-1;1-1;4-1;6-1;7-1;2-1;2-1;2-1;2-1;92-1;92-1;3-1;3-1;6-1;1-1;5-1;92-1;7-1;7-1;7-1;7-1;2-1;0-1;0-1;0-1;0-1;1-1;1-1;1-1;1-1;6-1;6-1;6-1;6-1;92-1;6-1;3-1;7-1;92-1;7-1;7-1;7-1;7-1;3-1;3-1;3-1;92-1;92-1;92-1;2-1;3-1;8-1;8-1;8-1;1-1;2-1;2-1;8-1;8-1;8-1;92-1;7-1;8-1,
FreeSpin_Reel_5,92-1;1-1;5-1;6-1;7-1;92-1;92-1;0-1;6-1;2-1;3-1;8-1;2-1;92-1;2-1;4-1;4-1;4-1;5-1;6-1;1-1;3-1;8-1;0-1;1-1;5-1;6-1;2-1;3-1;4-1;7-1;92-1;8-1;5-1;7-1;7-1;92-1;92-1;7-1;2-1;2-1;2-1;1-1;1-1;1-1;6-1;6-1;92-1;6-1;6-1;6-1;0-1;0-1;0-1;3-1;3-1;3-1;8-1;8-1;8-1;8-1;8-1;8-1;2-1;2-1;92-1;3-1;3-1;3-1;4-1;4-1;4-1;92-1;92-1;92-1;5-1;5-1;5-1;5-1;5-1;5-1,


Socre_MonsterParty_1,#Symbol/Socre_MonsterParty_1_img.png;0;0;1,
Socre_MonsterParty_2,#Symbol/Socre_MonsterParty_2_img.png;0;0;1,
Socre_MonsterParty_3,#Symbol/Socre_MonsterParty_3_img.png;0;0;1,
Socre_MonsterParty_4,#Symbol/Socre_MonsterParty_4_img.png;0;0;1,
Socre_MonsterParty_5,#Symbol/Socre_MonsterParty_5_img.png;0;0;1,
Socre_MonsterParty_6,#Symbol/Socre_MonsterParty_6_img.png;0;0;0.5,
Socre_MonsterParty_7,#Symbol/Socre_MonsterParty_7_img.png;0;0;0.5,
Socre_MonsterParty_8,#Symbol/Socre_MonsterParty_8_img.png;0;0;0.5,
Socre_MonsterParty_9,#Symbol/Socre_MonsterParty_9_img.png;0;0;0.5,
Socre_MonsterParty_Scatter,#Symbol/Socre_MonsterParty_Scatter_img.png;0;0;0.5,
Socre_MonsterParty_Wild,#Symbol/Socre_MonsterParty_WILD_img.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_95,idleframe-false



isAllLineType,0
lineCount,50
columnNum,5
rowNum,5
scatterShowCol,2;3;4
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameMonsterParty_run
quickStopDelayTime,0
reelMoveSpeed,990
reelDownTime,0.1
reelResTime,0.15
reelResDis,10
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,MonsterPartySounds/ 
musicFsBg,MonsterPartySounds/ 
musicReSpinBg,MonsterPartySounds/ 
soundScatterTip,MonsterPartySounds/ 
soundBonusTip,MonsterPartySounds/ 
soundReelDown,MonsterPartySounds/MonsterParty_JP_ReelStop.mp3
commonSoundReelDown,Sounds/CommonReelDown_3.mp3
randomSmallSymbolNum,9
showScoreImage,1
showLinesTime,3


