reel_cloumn1,83;100;73;100;74;100;72;100;70;100;85;100;70;100;72;100;74;100;82;100;71;100,
reel_cloumn2,2;100;73;100;74;100;82;100;74;100;85;100;71;100;83;100;74;100;73;100;70;100,
reel_cloumn3,83;100;73;100;1;100;72;100;70;100;85;100;70;100;72;100;74;100;82;100;73;100,

Normal_Reel_1,83-1;100-1;73-1;100-1;74-1;100-1;72-1;100-1;70-1;100-1;85-1;100-1;70-1;100-1;72-1;100-1;74-1;100-1;82-1;100-1;71-1;100-1,
Normal_Reel_2,2-1;100-1;73-1;100-1;74-1;100-1;82-1;100-1;74-1;100-1;85-1;100-1;71-1;100-1;83-1;100-1;74-1;100-1;73-1;100-1;70-1;100-1,
Normal_Reel_3,83-1;100-1;73-1;100-1;1-1;100-1;72-1;100-1;70-1;100-1;85-1;100-1;70-1;100-1;72-1;100-1;74-1;100-1;82-1;100-1;73-1;100-1,

lineCount,1
columnNum,3
rowNum,5
reelWidth,758
reelHeight,500
reelRunDatas,18;24;30
bPlayScatterAction,1
reelMoveSpeed,2300
bInclScatter,1
bPlayScatterAction,1
reelResType,1
reelResTime,0.2
reelResDis,45
reelBeginJumpTime,0
randomSmallSymbolNum,5
soundReelDown,
commonSoundReelDown,
showScoreImage,0
soundReelDown,
