reel_cloumn1,5;4;2;6;4;1;7;5;3;4;2;8;7;0;8;3;7;6;1;4;7;90;6;3;4;1;7;0;4;2;5;6;0;8;1;6;90;7;6;1;5;7;0;8;7;0;5;3;6;8;0;5;4;1;5;7;2;8;3;6;8;90;4;5;2;5;8;3;4;6;0,
reel_cloumn2,3;6;0;4;90;6;0;8;1;4;0;5;3;6;0;5;8;1;8;6;90;5;7;2;8;3;4;1;8;0;7;1;7;3;5;1;4;1;8;2;5;3;7;4;1;7;0;8;2;7;90;5;0;8;1;6;3;8;2;6;3;5;2;7;2;4;3;6;2;6;7,
reel_cloumn3,92;4;0;3;6;0;4;90;5;8;2;6;0;8;5;3;6;0;8;3;4;92;8;6;1;8;90;5;7;0;7;0;8;2;7;1;7;3;5;1;4;92;8;2;6;1;8;2;5;92;7;4;1;7;3;5;2;7;90;5;2;6;0;8;1;6;92;4;3;6;7,
reel_cloumn4,92;4;2;8;1;5;3;8;90;7;0;8;2;6;3;8;1;6;90;5;0;8;1;8;90;7;0;4;92;6;1;7;0;4;3;6;2;7;0;4;6;92;7;1;8;6;0;5;2;8;92;6;1;4;8;3;7;5;2;6;3;5;92;5;0;7;3;5;2;4;7,
reel_cloumn5,92;8;3;4;0;4;1;7;0;8;90;5;0;6;3;8;92;4;1;8;2;4;90;5;6;0;6;2;4;92;8;3;5;3;7;0;5;90;4;2;6;92;8;6;3;7;1;6;0;5;2;8;92;5;0;6;2;8;1;5;7;2;6;3;7;1;4;7;1;8;7,

freespinModeId_0_1,5;4;2;6;4;1;7;200;200;200;2;8;7;0;200;200;200;6;1;4;7;90;200;200;200;1;7;0;4;2;5;6;0;8;1;6;90;7;6;1;5;7;0;8;7;0;200;200;200;8;0;5;4;1;5;7;2;200;200;200;8;90;4;5;2;5;200;200;200;6;0,
freespinModeId_0_2,3;6;0;4;90;6;0;8;2;4;0;5;3;6;0;5;8;1;8;6;90;5;7;2;8;3;4;1;8;0;7;1;7;3;5;1;4;1;8;2;5;1;7;4;1;7;0;8;2;7;90;5;0;8;1;6;0;8;2;6;3;5;2;7;0;4;3;6;2;6;7;,
freespinModeId_0_3,92;4;0;3;6;0;4;90;5;8;2;6;0;8;5;3;6;0;8;3;4;92;8;6;1;8;90;5;7;0;7;0;8;2;7;1;7;3;5;1;4;92;8;2;6;1;8;2;5;92;7;4;1;7;3;5;2;7;90;5;2;6;0;8;1;6;92;4;3;6;7,
freespinModeId_0_4,92;4;2;8;1;5;3;8;90;7;0;8;2;6;3;8;1;6;90;5;0;8;1;8;90;7;0;4;92;6;1;7;0;4;3;6;2;7;0;4;6;92;7;1;8;6;0;5;2;8;92;6;1;4;8;3;7;5;2;6;3;5;92;5;0;7;3;5;2;4;7,
freespinModeId_0_5,92;200;200;200;0;4;1;7;0;8;90;5;0;200;200;200;92;4;1;8;2;4;90;5;6;0;6;2;4;92;200;200;200;2;200;200;200;5;90;4;2;6;92;8;200;200;200;1;6;0;5;2;8;92;5;0;6;2;8;1;5;7;2;200;200;200;1;4;7;1;8;7;92;200;200;200;0;4;1;7;0;8;90;5;0;200;200;200;92;4;1;8;2;4;90;5;6;0;6;2;4;92;200;200;200;6;200;200;200;5;90;4;2;6;92;8;200;200;200;1;6;0;5;2;8;92;5;0;6;2;8;1;5;7;2;200;200;200;1;4;7;1;8;7;92;200;200;200;0;4;1;7;0;8;90;5;0;200;200;200;92;4;1;8;2;4;90;5;6;0;6;2;5;92;200;200;200;5;200;200;200;5;90;4;2;6;92;8;6;200;200;200;7;1;6;0;5;2;8;92;5;0;6;2;8;1;5;7;2;6;200;200;200;7;1;4;7;1;8;7;92;8;200;200;200;4;0;4;1;7;0;8;90;5;0;6;200;200;200;8;92;4;1;8;2;4;90;5;6;0;6;2;4;92;8;200;200;200;5;7;200;200;200;7;0;5;90;4;2;6;92;8;6;200;200;200;7;1;6;0;5;2;8;92;5;0;6;2;8;1;5;7;2;6;200;200;200;7;1;4;7;1;8;7;92;8;200;200;200;4;0;4;1;7;0;8;90;5;0;6;200;200;200;8;92;4;1;8;2;4;90;5;6;0;6;2;4;92;8;200;200;200;5;4;200;200;200;7;0;5;90;4;2;6;92;8;6;200;200;200;7;1;6;0;5;2;8;92;5;0;6;2;8;1;5;7;2;6;200;200;200;7;1;4;7;1;8;7,

Socre_RoaringKing_1,#Symbol/Socre_RoaringKing_1.png;0;0;0.5,
Socre_RoaringKing_2,#Symbol/Socre_RoaringKing_2.png;0;0;0.5,
Socre_RoaringKing_3,#Symbol/Socre_RoaringKing_3.png;0;0;0.5,
Socre_RoaringKing_4,#Symbol/Socre_RoaringKing_4.png;0;0;0.5,
Socre_RoaringKing_5,#Symbol/Socre_RoaringKing_5.png;0;0;0.5,
Socre_RoaringKing_6,#Symbol/Socre_RoaringKing_6.png;0;0;0.5,
Socre_RoaringKing_7,#Symbol/Socre_RoaringKing_7.png;0;0;0.5,
Socre_RoaringKing_8,#Symbol/Socre_RoaringKing_8.png;0;0;0.5,
Socre_RoaringKing_9,#Symbol/Socre_RoaringKing_9.png;0;0;0.5,
Socre_RoaringKing_Wild,#Symbol/Socre_RoaringKing_wild.png;0;0;0.5,


SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_90,idleframe-false

init_reel1,3;7;3
init_reel2,1;4;1
init_reel3,4;92;4
init_reel4,0;4;0
init_reel5,2;8;2


isAllLineType,0
lineCount,5
columnNum,5
rowNum,3
reelWidth,1280
reelHeight,558
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameRoaringKing_run
reelBgEffectRes,WinFrameRoaringKing_run_bg
quickStopDelayTime,0
reelMoveSpeed,2656
reelResTime,0.15
reelDownTime,0.1
reelResDis,27
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,RoaringKingSounds/music_RoaringKin_baseBg.mp3
musicFsBg,RoaringKingSounds/music_RoaringKin_fsBg.mp3
musicReSpinBg,
soundScatterTip,
soundBonusTip,
soundReelDown,RoaringKingSounds/music_RoaringKin_ReelStop.mp3
reelRunSound,RoaringKingSounds/music_RoaringKin_LongRun.mp3
randomSmallSymbolNum,9
showScoreImage,1 
showLinesTime,2
bigSymbolTypeCounts,200-3
specialSymbolList,92

fsReelMoveSpeed,2921
fsReelRunDatas,17;21;25;29;33
