reel_cloumn1,5;5;6;6;5;6;0;0;5;5;6;5;0;5;6;6;1;2;6;3;3;3;6;7;7;6;7;7;5;5;6;6;5;6;6;6;3;0;6;6;7;7;6;1;6;3;6;7;5;5;4;6;1;5;6;6;5;6;6;0;0;6;6;6;6;3;3;5;5;0;7;3;6;6;7;5;0;4;6;8;8;8;8;6;6;2;3;8;2;4;6;4;2;7;6;6;1;6;7;1;2;7;7;4;1;6;3;8;2;3;3;4;8;4;0;0;6;7;7;7;3;6;5;5;1;1;6;6;6;7;7;2;2;6;1;4;7;7;7;6;6;7;7;4;6;7;8;8;2;2;4;4;6;6;1;1;4;7;7;2;6;7;7;6;2;2;3;8;7;8;6;6;6;3;8;6;1;4;5;2;8;6;4;4;2;2;8;8;2;6;1;7;2;6;7;8;1;3;0;5,
reel_cloumn2,5;92;92;0;5;6;0;92;5;4;6;92;6;5;92;6;6;2;92;1;3;3;92;7;7;6;8;7;92;92;8;3;92;92;92;5;3;0;6;6;6;0;6;1;6;92;6;7;5;92;4;92;1;5;6;6;5;6;8;0;5;6;92;92;92;1;3;6;5;0;7;3;6;6;7;5;0;4;8;8;92;92;92;1;6;2;3;8;2;5;7;4;2;7;92;6;1;6;7;1;92;7;7;4;1;92;3;8;2;5;3;4;92;4;0;0;8;7;6;6;3;3;5;5;1;92;92;7;8;7;7;2;92;92;92;4;7;7;7;6;5;7;7;4;6;92;8;8;2;2;4;4;7;92;1;1;6;7;7;2;6;7;7;6;2;92;3;8;7;8;6;7;2;3;8;6;6;92;92;2;8;6;4;4;2;2;8;8;2;6;1;7;92;5;7;8;1;3;6;5,
reel_cloumn3,5;92;92;0;5;6;0;92;5;4;6;92;6;5;92;6;6;2;92;1;3;3;92;0;7;6;8;7;92;92;8;3;92;92;92;5;3;0;6;6;6;0;6;1;6;92;6;7;5;92;4;92;1;5;6;6;5;6;8;0;5;6;92;92;92;1;3;6;5;0;7;3;6;6;7;5;0;4;8;8;92;92;92;1;6;2;3;8;2;5;5;4;2;7;92;6;1;6;7;1;92;7;7;4;1;92;3;6;2;5;3;4;92;4;0;0;8;7;6;6;3;3;5;5;1;92;92;7;8;7;7;2;92;92;92;4;7;7;7;6;5;7;7;4;6;92;8;8;2;2;4;4;7;92;1;1;6;7;7;2;6;7;7;6;2;92;3;8;7;8;6;7;2;3;8;6;6;92;92;2;8;6;4;4;2;2;8;8;2;6;1;7;92;5;7;8;1;3;6;5,
reel_cloumn4,7;92;7;6;6;6;0;92;5;4;6;5;6;5;0;6;6;2;92;4;3;7;92;0;7;6;8;7;5;92;8;3;92;92;92;5;3;0;6;6;6;0;6;1;6;92;6;7;5;92;4;92;1;5;6;6;5;6;8;0;5;6;92;92;92;1;3;6;5;0;7;3;6;6;7;5;0;4;8;8;92;92;92;1;6;7;3;8;2;5;5;4;2;7;92;6;1;6;7;1;92;7;7;4;1;92;3;6;2;5;3;4;92;4;0;0;8;7;6;6;3;3;5;5;1;92;92;7;8;7;7;2;92;92;92;4;7;7;7;6;5;7;7;4;6;92;8;8;2;2;4;4;7;92;1;1;6;7;7;2;6;7;7;6;2;92;3;8;7;8;6;7;2;3;8;6;1;92;92;2;8;6;4;4;2;2;8;8;2;6;1;7;92;5;7;8;1;3;6;5,
reel_cloumn5,7;92;7;6;6;6;1;92;5;4;6;5;3;5;0;6;6;2;92;4;3;7;92;0;7;6;8;7;5;92;8;3;92;92;92;5;3;0;6;6;6;0;6;1;6;92;6;7;5;92;4;92;1;5;6;6;5;6;8;0;5;6;92;92;92;1;3;6;5;0;7;3;6;6;7;5;0;4;8;8;92;92;92;1;6;7;3;8;2;5;5;4;2;7;92;6;1;6;7;1;92;7;7;4;1;92;3;6;2;5;3;4;92;4;0;0;8;7;6;6;3;3;5;5;1;92;92;7;8;7;7;2;92;92;92;4;7;7;7;6;5;7;7;4;6;92;8;8;2;2;4;4;7;92;1;1;6;7;7;2;6;7;7;6;2;92;3;8;7;8;6;7;2;3;8;6;1;92;92;2;8;6;4;4;2;2;8;8;2;6;1;7;92;5;7;8;1;3;6;5,

freespinModeId_0_1,5;5;6;6;5;6;0;0;5;5;6;5;0;5;6;6;1;2;6;3;3;3;6;7;7;6;7;7;5;5;6;6;5;6;6;6;3;0;6;6;7;7;6;1;6;3;6;7;5;5;4;6;1;5;6;6;5;6;6;0;0;6;6;6;6;3;3;5;5;0;7;3;6;6;7;5;0;4;6;8;8;8;8;6;6;2;3;8;2;4;6;4;2;7;6;6;1;6;7;1;2;7;7;4;1;6;3;8;2;3;3;4;8;4;0;0;6;7;7;7;3;6;5;5;1;1;6;6;6;7;7;2;2;6;1;4;7;7;7;6;6;7;7;4;6;7;8;8;2;2;4;4;6;6;1;1;4;7;7;2;6;7;7;6;2;2;3;8;7;8;6;6;6;3;8;6;1;4;5;2;8;6;4;4;2;2;8;8;2;6;1;7;2;6;7;8;1;3;0;5,
freespinModeId_0_2,5;92;92;0;5;6;0;92;5;4;6;92;6;5;92;6;6;2;92;1;3;3;92;7;7;6;8;7;92;92;8;3;92;92;92;5;3;0;6;6;6;0;6;1;6;92;6;7;5;92;4;92;1;5;6;6;5;6;8;0;5;6;92;92;92;1;3;6;5;0;7;3;6;6;7;5;0;4;8;8;92;92;92;1;6;2;3;8;2;5;7;4;2;7;92;6;1;6;7;1;92;7;7;4;1;92;3;8;2;5;3;4;92;4;0;0;8;7;6;6;3;3;5;5;1;92;92;7;8;7;7;2;92;92;92;4;7;7;7;6;5;7;7;4;6;92;8;8;2;2;4;4;7;92;1;1;6;7;7;2;6;7;7;6;2;92;3;8;7;8;6;7;2;3;8;6;6;92;92;2;8;6;4;4;2;2;8;8;2;6;1;7;92;5;7;8;1;3;6;5,
freespinModeId_0_3,5;92;92;0;5;6;0;92;5;4;6;92;6;5;92;6;6;2;92;1;3;3;92;0;7;6;8;7;92;92;8;3;92;92;92;5;3;0;6;6;6;0;6;1;6;92;6;7;5;92;4;92;1;5;6;6;5;6;8;0;5;6;92;92;92;1;3;6;5;0;7;3;6;6;7;5;0;4;8;8;92;92;92;1;6;2;3;8;2;5;5;4;2;7;92;6;1;6;7;1;92;7;7;4;1;92;3;6;2;5;3;4;92;4;0;0;8;7;6;6;3;3;5;5;1;92;92;7;8;7;7;2;92;92;92;4;7;7;7;6;5;7;7;4;6;92;8;8;2;2;4;4;7;92;1;1;6;7;7;2;6;7;7;6;2;92;3;8;7;8;6;7;2;3;8;6;6;92;92;2;8;6;4;4;2;2;8;8;2;6;1;7;92;5;7;8;1;3;6;5,
freespinModeId_0_4,7;92;7;6;6;6;0;92;5;4;6;5;6;5;0;6;6;2;92;4;3;7;92;0;7;6;8;7;5;92;8;3;92;92;92;5;3;0;6;6;6;0;6;1;6;92;6;7;5;92;4;92;1;5;6;6;5;6;8;0;5;6;92;92;92;1;3;6;5;0;7;3;6;6;7;5;0;4;8;8;92;92;92;1;6;7;3;8;2;5;5;4;2;7;92;6;1;6;7;1;92;7;7;4;1;92;3;6;2;5;3;4;92;4;0;0;8;7;6;6;3;3;5;5;1;92;92;7;8;7;7;2;92;92;92;4;7;7;7;6;5;7;7;4;6;92;8;8;2;2;4;4;7;92;1;1;6;7;7;2;6;7;7;6;2;92;3;8;7;8;6;7;2;3;8;6;1;92;92;2;8;6;4;4;2;2;8;8;2;6;1;7;92;5;7;8;1;3;6;5,
freespinModeId_0_5,7;92;7;6;6;6;1;92;5;4;6;5;3;5;0;6;6;2;92;4;3;7;92;0;7;6;8;7;5;92;8;3;92;92;92;5;3;0;6;6;6;0;6;1;6;92;6;7;5;92;4;92;1;5;6;6;5;6;8;0;5;6;92;92;92;1;3;6;5;0;7;3;6;6;7;5;0;4;8;8;92;92;92;1;6;7;3;8;2;5;5;4;2;7;92;6;1;6;7;1;92;7;7;4;1;92;3;6;2;5;3;4;92;4;0;0;8;7;6;6;3;3;5;5;1;92;92;7;8;7;7;2;92;92;92;4;7;7;7;6;5;7;7;4;6;92;8;8;2;2;4;4;7;92;1;1;6;7;7;2;6;7;7;6;2;92;3;8;7;8;6;7;2;3;8;6;1;92;92;2;8;6;4;4;2;2;8;8;2;6;1;7;92;5;7;8;1;3;6;5,



Socre_RocketPup_1,#RocketPupSymbol/Socre_RocketPup_1.png;0;0;0.5,
Socre_RocketPup_2,#RocketPupSymbol/Socre_RocketPup_2.png;0;0;0.5,
Socre_RocketPup_3,#RocketPupSymbol/Socre_RocketPup_3.png;0;0;0.5,
Socre_RocketPup_4,#RocketPupSymbol/Socre_RocketPup_4.png;0;0;0.5,
Socre_RocketPup_5,#RocketPupSymbol/Socre_RocketPup_5.png;0;0;0.5,
Socre_RocketPup_6,#RocketPupSymbol/Socre_RocketPup_6.png;0;0;0.5,
Socre_RocketPup_7,#RocketPupSymbol/Socre_RocketPup_7.png;0;0;0.5,
Socre_RocketPup_8,#RocketPupSymbol/Socre_RocketPup_8.png;0;0;0.5,
Socre_RocketPup_9,#RocketPupSymbol/Socre_RocketPup_9.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_92,idleframe-false


isAllLineType,0
lineCount,50
columnNum,5
rowNum,3

reelWidth,1100
reelHeight,500
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
quickStopDelayTime,0
reelMoveSpeed,1800
reelResTime,0.15
reelDownTime,0.1
reelResDis,17
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,RocketPupSounds/music_RocketPup_FsBg.mp3
musicFsBg,RocketPupSounds/music_RocketPup_FsBg.mp3
soundReelDownQuickStop,RocketPupSounds/sound_RocketPup_quick.mp3
musicReSpinBg,
soundScatterTip,
soundBonusTip,
soundReelDown,
reelRunSound,
showScoreImage,1
showLinesTime,2

init_reel1,1;1;1;1
init_reel2,92;92;92;92
init_reel3,92;92;92;92
init_reel4,92;92;92;92
init_reel5,1;1;1;1

fsReelMoveSpeed,1800
fsReelRunDatas,17;21;25;29;33
