reel_cloumn1,5;2;2;2;0;0;0;4;1;1;1;92;92;7;3;3;3;0;7;7;5;3;3;94;4;6;8;3;3;6;1;92;92;6;2;2;94;5;8;2;2;0;0;4;2;4;4;1;1;8;8;6;94;7;5;3;0;2;92;92;7;8;4;5;0;0;2;94;7;6;0;92;92;6;1;1;4;8;2;2;5;3;3;2;8;4;4;94
reel_cloumn2,5;2;2;2;6;0;0;0;3;3;3;92;92;5;0;4;1;1;8;8;6;3;3;0;3;3;4;1;1;1;7;92;92;6;5;5;0;2;2;0;0;6;2;7;2;4;4;4;0;6;0;0;0;2;3;5;1;2;92;92;1;3;8;0;6;6;2;0;7;8;4;92;92;4;5;2;8;92;92;2;2;1;1;8;6;4;4;0
reel_cloumn3,5;8;5;5;4;92;92;1;1;1;7;2;2;0;0;3;3;3;2;2;8;3;3;0;2;2;2;0;0;0;6;92;92;7;5;5;0;3;3;1;1;6;4;7;2;4;4;6;0;0;3;1;0;8;8;5;4;2;92;92;0;6;1;5;8;1;0;7;4;0;6;92;92;3;7;7;2;2;92;92;5;8;6;4;2;4;4;0
reel_cloumn4,0;0;0;4;1;1;1;92;92;7;3;3;3;5;6;8;0;3;3;3;0;5;2;2;2;6;8;3;3;1;1;92;92;7;2;2;0;2;0;0;2;5;4;7;2;4;4;7;5;4;5;2;0;3;0;6;3;6;92;92;7;2;0;0;0;1;0;8;1;6;8;92;92;4;2;8;5;92;92;4;8;5;3;4;2;4;4;0
reel_cloumn5,5;92;92;92;6;5;3;3;94;0;0;2;2;1;1;92;92;92;4;1;1;1;7;3;3;3;0;6;8;3;3;92;92;6;2;2;94;0;6;8;3;5;4;7;2;4;4;1;1;1;8;6;94;7;5;3;0;92;92;92;7;8;4;5;2;94;7;6;0;0;0;92;92;1;4;8;2;2;92;92;5;3;3;2;8;4;4;94

Socre_TakeOrStake_1,#TakeOrStakeSymbol/Socre_TakeOrStake_1.png;0;0;0.5,
Socre_TakeOrStake_2,#TakeOrStakeSymbol/Socre_TakeOrStake_2.png;0;0;0.5,
Socre_TakeOrStake_3,#TakeOrStakeSymbol/Socre_TakeOrStake_3.png;0;0;0.5,
Socre_TakeOrStake_4,#TakeOrStakeSymbol/Socre_TakeOrStake_4.png;0;0;0.5,
Socre_TakeOrStake_5,#TakeOrStakeSymbol/Socre_TakeOrStake_5.png;0;0;0.5,
Socre_TakeOrStake_6,#TakeOrStakeSymbol/Socre_TakeOrStake_6.png;0;0;0.5,
Socre_TakeOrStake_7,#TakeOrStakeSymbol/Socre_TakeOrStake_7.png;0;0;0.5,
Socre_TakeOrStake_8,#TakeOrStakeSymbol/Socre_TakeOrStake_8.png;0;0;0.5,
Socre_TakeOrStake_9,#TakeOrStakeSymbol/Socre_TakeOrStake_9.png;0;0;0.5,
Socre_TakeOrStake_10,#TakeOrStakeSymbol/Socre_TakeOrStake_10.png;0;0;0.5,
Socre_TakeOrStake_Wild,#TakeOrStakeSymbol/Socre_TakeOrStake_Wild.png;0;0;0.5,
Socre_TakeOrStake_Bonus,#TakeOrStakeSymbol/Socre_TakeOrStake_Bonus.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_4,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_94,idleframe-false

SymbolBulingAnim_94,1-buling
SymbolBulingSound_94,TakeOrStakeSounds/sound_TakeOrStake_bonusBuling.mp3-0

init_reel1,0;0;0;0
init_reel2,92;92;92;92
init_reel3,92;92;92;92
init_reel4,92;92;92;92
init_reel5,0;0;0;0

isAllLineType,0
lineCount,50
columnNum,5
rowNum,4
reelWidth,1080
reelHeight,560
scatterShowCol,
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameTakeOrStake_run
reelBgEffectRes,WinFrameTakeOrStake_run_bg
quickStopDelayTime,0
reelMoveSpeed,2256
reelResTime,0.15
reelDownTime,0.1
reelResDis,23
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,TakeOrStakeSounds/music_TakeOrStakeSounds_baseGame.mp3
soundScatterTip,
soundBonusTip,
soundReelDown,TakeOrStakeSounds/sound_TakeOrStake_reelStop.mp3
reelRunSound,TakeOrStakeSounds/sound_TakeOrStake_quickRun.mp3
randomSmallSymbolNum,
showScoreImage,1
showLinesTime,2

fsReelMoveSpeed,2481
fsReelRunDatas,17;21;25;29;33
