reel_cloumn1,0;6;6;2;94;9;8;6;0;4;90;1;6;2;9;8;95;1;0;6;1;9;9;2;1;96;4;2;4;6;9;9;6;6;6;2;95;6;9;9;96;2;9;9;8;6;3;9;4;6;9;2;4;9;2;6;4;6;95;6;4;6;1;4;6;1;2;94;4;6;0;4;3;6;1;4;2;6;6;1;4;6;4;4;6;0;2;1;4;9;4;4;1;4;7;4;5;6;4;9;9;5;4;7;90;6;4;9;6;4;9,													
reel_cloumn2,5;8;7;3;8;7;8;3;7;8;7;7;9;94;2;7;5;5;4;8;7;3;9;94;5;3;3;8;5;3;7;8;3;94;7;8;7;3;8;7;3;3;7;3;95;5;8;8;7;8;96;3;8;7;3;7;90;8;5;3;1;8;3;5;8;8;3;95;5;7;0;8;7;3;7;5;90;7;5;5;3;8;7;3;7;5;8;6;3;8;8;5;5;4;7;1;5;5;7;5;8;5;5;7;8;8;3;8;8;3;8,												
reel_cloumn3,0;9;6;0;5;6;1;2;6;95;9;9;1;5;1;8;2;8;1;2;96;7;9;1;7;95;9;4;5;95;9;7;6;6;5;2;9;94;3;7;6;4;3;9;7;2;3;3;96;9;1;7;2;7;9;3;4;5;7;94;7;7;1;5;6;4;1;4;5;7;90;4;5;6;94;1;2;7;6;1;4;2;5;4;7;0;2;1;90;2;3;9;1;5;9;2;4;5;4;4;8;5;4;9;9;6;4;9;6;4;9,													
reel_cloumn4,0;7;8;0;5;7;0;1;5;0;9;9;2;95;1;7;8;2;8;1;6;94;8;2;7;8;2;3;94;9;3;8;6;3;6;9;8;94;3;8;9;3;9;7;3;95;9;4;6;8;2;3;8;2;5;9;7;5;8;7;7;8;1;5;6;1;3;4;5;7;90;4;5;6;4;1;2;7;6;96;4;2;5;4;7;0;4;5;7;4;3;2;1;5;90;4;8;5;4;4;8;5;4;8;7;6;4;9;6;4;9,													
reel_cloumn5,0;7;8;0;5;7;0;8;5;9;7;8;94;5;8;0;7;1;3;2;6;7;8;2;7;8;3;4;5;7;90;8;4;6;95;2;7;6;3;8;1;3;8;7;3;5;9;4;2;8;1;3;5;2;8;7;96;5;8;2;8;7;1;1;6;1;8;4;5;7;90;4;5;6;1;2;0;7;6;1;2;8;5;4;7;0;1;3;2;4;3;2;1;5;8;1;5;4;7;94;8;5;4;8;94;6;5;3;6;5;3,													

freespinModeId_0_1,95;6;6;2;94;8;1;2;95;4;6;1;3;9;8;96;1;0;6;94;1;6;9;2;3;9;4;2;95;6;9;9;4;4;6;2;6;6;94;9;2;9;9;95;8;9;3;9;94;6;9;2;4;9;2;6;94;6;1;6;96;6;1;4;6;1;2;94;4;6;0;4;4;6;1;4;94;6;6;1;4;6;4;4;6;96;2;1;4;9;4;94;1;4;7;4;5;6;4;9;9;5;4;7;90;6;4;9;6;4;9,													
freespinModeId_0_2,2;8;7;96;8;7;8;1;7;8;7;7;9;94;2;7;5;5;5;9;7;3;8;94;5;3;3;8;1;3;7;8;94;8;7;8;7;3;94;7;8;3;7;96;1;5;8;8;94;8;3;3;96;7;3;7;90;8;2;3;3;8;95;5;8;1;2;3;5;7;95;8;7;3;7;5;90;7;5;3;8;95;7;3;7;2;6;6;3;8;8;96;0;4;7;1;2;5;7;94;8;5;5;7;8;8;3;8;8;3;96,													
freespinModeId_0_3,0;9;6;95;5;6;1;2;6;94;9;9;1;5;1;8;96;8;1;2;95;7;9;1;7;9;90;4;5;0;9;7;4;6;95;2;9;6;94;7;6;4;3;9;96;2;3;1;95;9;1;7;2;7;94;3;4;5;7;2;7;7;95;5;6;4;1;4;5;7;90;4;5;6;4;1;2;7;94;1;4;2;5;4;7;0;2;1;90;2;3;9;1;5;96;2;4;5;4;94;8;5;4;9;94;6;4;9;6;4;9,													
freespinModeId_0_4,0;7;8;0;5;7;0;95;5;0;9;9;94;5;1;7;8;2;8;1;6;95;8;2;7;8;2;3;5;9;96;8;6;3;6;9;8;6;94;8;9;3;9;7;95;8;9;4;94;8;2;3;8;2;5;94;4;5;8;7;7;8;1;95;6;1;3;4;5;7;90;4;5;6;4;1;2;7;96;1;4;2;5;4;7;96;4;5;7;4;3;2;1;5;90;4;8;5;4;94;8;5;4;8;94;6;4;9;6;4;9,													
freespinModeId_0_5,96;7;8;0;5;7;95;8;5;9;7;8;1;94;8;0;7;1;3;2;6;94;8;2;7;95;3;4;5;7;90;8;4;6;5;2;7;6;94;8;1;3;95;7;3;5;9;4;94;8;1;3;5;2;94;6;4;5;8;2;8;7;95;5;6;1;8;4;5;7;90;4;5;6;1;2;96;7;6;1;2;8;5;4;96;0;1;3;2;4;96;2;1;5;8;1;5;4;7;94;8;5;4;8;94;6;5;3;6;5;3,													

BN_Base_pro,2-200000;3-100000;5-200000;8-100000;10-120000;12-120000;15-60000;20-70000;25-10000;30-5000;40-5000;50-15000;60-100;80-100;mini-20000;150-600;minor-12000;300-300;500-4000;major-500

init_reel1,0;0;0;0;0
init_reel2,0;0;0;0;0
init_reel3,0;0;92;0;0
init_reel4,0;0;0;0;0
init_reel5,0;0;0;0;0

Socre_TripleBingo_10,#TripleBingoSymbol/Socre_TripleBingo_10.png;0;0;0.5,
Socre_TripleBingo_1,#TripleBingoSymbol/Socre_TripleBingo_1.png;0;0;0.5,
Socre_TripleBingo_2,#TripleBingoSymbol/Socre_TripleBingo_2.png;0;0;0.5,
Socre_TripleBingo_3,#TripleBingoSymbol/Socre_TripleBingo_3.png;0;0;0.5,
Socre_TripleBingo_4,#TripleBingoSymbol/Socre_TripleBingo_4.png;0;0;0.5,
Socre_TripleBingo_5,#TripleBingoSymbol/Socre_TripleBingo_5.png;0;0;0.5,
Socre_TripleBingo_6,#TripleBingoSymbol/Socre_TripleBingo_6.png;0;0;0.5,
Socre_TripleBingo_7,#TripleBingoSymbol/Socre_TripleBingo_7.png;0;0;0.5,
Socre_TripleBingo_8,#TripleBingoSymbol/Socre_TripleBingo_8.png;0;0;0.5,
Socre_TripleBingo_9,#TripleBingoSymbol/Socre_TripleBingo_9.png;0;0;0.5,
Socre_TripleBingo_Scatter,#symbol/Socre_TripleBingo_SCATTER.png;0;0;0.5,
Socre_TripleBingo_Wild,#symbol/Socre_TripleBingo_WILD.png;0;0;0.5,


SpineSymbol_0,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_91,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_94,idleframe-false
SpineSymbol_95,idleframe-false
SpineSymbol_96,idleframe-false

isAllLineType,0
lineCount,3125
columnNum,5
rowNum,5
reelWidth,768
reelHeight,1100
scatterShowCol,
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,15;18;21;24;27
reelEffectRes,
reelBgEffectRes,
quickStopDelayTime,0
reelMoveSpeed,1104
reelResTime,0.15
reelDownTime,0.1
reelResDis,12
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,TripleBingoSounds/TripleBingo_Sound_Base_Bgm.mp3
musicFsBg,TripleBingoSounds/TripleBingo_Sound_Free_Bgm.mp3
musicReSpinBg,
soundScatterTip,
soundBonusTip,
soundReelDown,TripleBingoSounds/TripleBingo_Sound_4.mp3
soundReelDownQuickStop,TripleBingoSounds/TripleBingo_Sound_5.mp3
reelRunSound,
randomSmallSymbolNum,
showScoreImage,0  
showLinesTime,2  
 

