
reel_cloumn1,12;100;13;100;13;100;10;100;14;100;12;100;95;100;95;100;11;100;14;100;10;100;10;100;13;100;12;100;10;100;12;100;95;100;14;100;10;100;10;100;12;100;13;100;95;100;10;100;11;100;10;100;12;100;10;100;11;100;13;100;14;100;95;100;14;100;13;100;11;100,
reel_cloumn2,12;100;95;100;13;100;14;100;14;100;12;100;95;100;95;100;11;100;14;100;10;100;11;100;10;100;95;100;14;100;10;13;100;12;100;10;100;12;100;11;100;14;100;10;100;10;100;12;100;95;100;95;100;10;100;11;100;10;100;12;100;14;100;11;100;10;100;14;100;13;100,
reel_cloumn3,95;100;102;100;13;100;102;100;10;100;12;100;95;100;14;100;10;100;14;100;95;100;11;100;95;100;10;100;10;100;13;100;14;100;102;100;12;100;11;100;11;100;102;100;14;100;12;100;102;100;95;100;102;100;11;100;10;100;12;100;95;100;11;100;14;100;13;100,

Normal_Reel_1,12-1;100-1;13-1;100-1;13-1;100-1;10-1;100-1;14-1;100-1;12-1;100-1;95-1;100-1;95-1;100-1;11-1;100-1;14-1;100-1;10-1;100-1;10-1;100-1;13-1;100-1;12-1;100-1;10-1;100-1;12-1;100-1;95-1;100-1;14-1;100-1;10-1;100-1;10-1;100-1;12-1;100-1;13-1;100-1;95-1;100-1;10-1;100-1;11-1;100-1;10-1;100-1;12-1;100-1;10-1;100-1;11-1;100-1;13-1;100-1;14-1;100-1;95-1;100-1;14-1;100-1;13-1;100-1;11-1;100-1,
Normal_Reel_2,12-1;100-1;95-1;100-1;13-1;100-1;14-1;100-1;14-1;100-1;12-1;100-1;95-1;100-1;95-1;100-1;11-1;100-1;14-1;100-1;10-1;100-1;11-1;100-1;10-1;100-1;95-1;100-1;14-1;100-1;10-1;13-1;100-1;12-1;100-1;10-1;100-1;12-1;100-1;11-1;100-1;14-1;100-1;10-1;100-1;10-1;100-1;12-1;100-1;95-1;100-1;95-1;100-1;10-1;100-1;11-1;100-1;10-1;100-1;12-1;100-1;14-1;100-1;11-1;100-1;10-1;100-1;14-1;100-1;13-1;100-1,
Normal_Reel_3,95-1;100-1;102-1;100-1;13-1;100-1;102-1;100-1;10-1;100-1;12-1;100-1;95-1;100-1;14-1;100-1;10-1;100-1;14-1;100-1;95-1;100-1;11-1;100-1;95-1;100-1;10-1;100-1;10-1;100-1;13-1;100-1;14-1;100-1;102-1;100-1;12-1;100-1;11-1;100-1;11-1;100-1;102-1;100-1;14-1;100-1;12-1;100-1;102-1;100-1;95-1;100-1;102-1;100-1;11-1;100-1;10-1;100-1;12-1;100-1;95-1;100-1;11-1;100-1;14-1;100-1;13-1;100-1,

Socre_VegasLife_Classical_2X,#Symbol/VegasLife_Classical_2b.png,
Socre_VegasLife_Classical_3X,#Symbol/VegasLife_Classical_3b.png,
Socre_VegasLife_Classical_5X,#Symbol/VegasLife_Classical_5b.png,
Socre_VegasLife_Classical_5,#Symbol/VegasLife_Classical_bar.png,
Socre_VegasLife_Classical_6,#Symbol/VegasLife_Classical_2bar.png,
Socre_VegasLife_Classical_7,#Symbol/VegasLife_Classical_3bar.png,
Socre_VegasLife_Classical_8,#Symbol/VegasLife_Classical_7l.png,
Socre_VegasLife_Classical_9,#Symbol/VegasLife_Classical_7.png,
Socre_VegasLife_Classical_Wild,#Symbol/VegasLife_Classical_wild.png,

isAllLineType,0
lineCount,1
columnNum,3
rowNum,5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,18;30;42
reelEffectRes,
quickStopDelayTime,0
reelMoveSpeed,2700
reelResTime,0.15
reelResDis,20
reelBeginJumpTime,0
reelBeginJumpHigh,20
soundReelDown,VegasLifeSounds/VegasLife_classic_reelStop.mp3
randomSmallSymbolNum,5
showScoreImage,1
reelResType,1
showLinesTime,2
