reel_cloumn1,94;94;8;9;3;3;7;7;90;10;6;5;5;9;8;0;0;6;9;1;1;8;10;0;0;10;8;4;4;10;10;94;94;8;6;4;4;9;7;90;6;10;5;5;6;7;0;0;10;8;2;2;9;6;94;94;8;6;1;1;10;10;0;0;6;8;2;2;9;8;0;0;7;8;1;1;7;9;94;94;8;7;4;4;8;8;0;0;10;10;2;2;7;6;0;0;9;6;1;1;9;7;90;6;6;2;2;7;7;90;6;10;3;3;7;9;90;6;7;5;5;6;10;94;94;9;8;2;2;9;10;94;94;8;8;5;5;10;9;0;0;6;8;3;3;9;7;0;0;9;6;3;3;10;6;94;94;8;7;3;3;8;9;0;0;7;8;5;5;9;6;94;94;7;10;4;4;9;7;1;1;10;9;4;4;7;10,							
reel_cloumn2,94;94;9;8;2;2;6;9;94;94;7;9;4;4;8;8;0;0;9;7;3;3;10;8;0;0;6;10;1;1;7;10;0;0;8;8;3;3;9;6;90;8;9;5;5;10;9;0;0;7;8;5;5;6;7;94;94;8;8;1;1;7;10;92;6;6;1;1;7;9;94;94;8;10;5;5;9;9;0;0;10;7;92;9;10;0;0;8;7;3;3;10;7;92;9;10;4;4;9;9;0;0;6;10;4;4;8;10;2;2;7;10;90;9;8;1;1;6;6;92;9;10;3;3;8;6;0;0;10;7;2;2;8;9;94;94;7;9;5;5;6;6;92;7;8;4;4;7;8;0;0;6;7;90;10;6;5;5;7;7;0;0;9;8;1;1;6;0;0;10;7;2;2;6;6;90;9;10;4;4;7;0;0;6;10;2;2;8;6,
reel_cloumn3,94;94;6;6;3;3;7;9;0;0;6;9;3;3;8;7;0;0;8;8;2;2;7;6;92;9;7;5;5;6;8;0;0;7;7;4;4;9;8;90;6;7;4;4;8;6;94;94;7;7;2;2;9;9;92;7;8;1;1;6;8;94;94;7;9;2;2;6;6;0;0;7;6;3;3;8;8;92;7;7;4;4;9;7;90;6;9;1;1;6;6;0;0;7;7;3;3;9;9;90;8;7;5;5;6;7;0;0;6;8;5;5;6;7;92;9;8;2;2;7;7;0;0;6;6;5;5;7;8;92;6;7;2;2;9;8;94;94;6;9;0;0;6;8;1;1;9;8;90;6;6;5;5;7;7;0;0;9;6;3;3;7;9;0;0;6;8;4;4;7;9;0;0;6;8;1;1;9;9;94;94;7;7;1;1;6;6;0;0;8;9;4;4;7;6;0;0;10;10;1;1;7;9,
reel_cloumn4,94;94;9;9;1;1;7;8;92;10;9;1;1;7;10;0;0;9;8;2;2;10;10;92;9;9;2;2;8;10;0;0;9;10;3;3;8;7;92;6;8;5;5;9;7;94;94;8;10;2;2;9;9;92;8;8;1;1;10;10;90;8;9;4;4;8;9;92;10;10;5;5;9;8;0;0;6;9;4;4;8;10;94;94;6;8;4;4;6;9;0;0;6;8;3;3;10;8;1;1;9;10;94;94;9;9;4;4;10;7;90;9;8;5;5;10;10;0;0;8;10;3;3;6;9;94;94;8;10;4;4;9;9;4;4;8;8;5;5;9;9;90;10;7;3;3;10;10;2;2;9;8;0;0;10;9;2;2;8;8;90;10;9;5;5;8;8,
reel_cloumn5,94;94;6;6;4;4;10;7;90;6;10;5;5;7;7;0;0;10;6;94;94;7;10;10;4;4;7;10;10;0;0;7;7;6;2;2;7;10;6;90;7;10;10;5;5;6;7;94;94;6;10;2;2;7;7;0;0;6;6;1;1;6;7;90;10;10;5;5;6;7;2;2;10;6;94;94;7;7;4;4;10;10;2;2;6;7;4;4;10;7;1;1;6;6;0;0;10;7;1;1;6;10;3;3;7;7;6;90;10;10;6;3;3;7;10;10;2;2;7;7;6;3;3;10;10;7;5;5;6;10;10;4;4;7;6;10;1;1;7;7;10;5;5;6;6;7;90;10;10;6;3;3;7;7;10;1;1;6;6;7;94;94;10;7;6;3;3;10;10;7;0;0;6;6;10,

freespinModeId_0_1,94;94;10;6;3;3;9;6;90;10;8;5;5;10;7;0;0;9;7;1;1;10;9;0;0;8;6;4;4;9;9;94;94;7;6;4;4;9;6;90;7;8;5;5;7;9;0;0;6;9;2;2;7;6;94;94;9;7;1;1;10;8;0;0;10;7;2;2;10;8;0;0;6;10;1;1;7;6;94;94;8;9;4;4;10;6;0;0;8;8;2;2;9;10;0;0;6;6,
freespinModeId_0_2,94;94;9;8;2;2;6;9;94;94;6;10;4;4;9;10;0;0;6;9;3;3;7;9;94;94;8;7;1;1;9;10;0;0;7;10;3;3;6;10;90;7;8;5;5;6;7;0;0;8;7;5;5;10;8;94;94;9;7;1;1;8;10;90;9;7;1;1;6;7;94;94;8;6;5;5;7;6;0;0;9;6;92;7;9;0;0;10;10;3;3;9;9;92;7;8;4;4;9;10,
freespinModeId_0_3,94;94;8;9;3;3;6;9;0;0;6;7;3;3;6;7;94;94;6;9;2;2;8;6;92;9;7;5;5;9;8;0;0;6;8;4;4;7;6;92;8;8;4;4;10;9;94;94;7;6;2;2;10;10;92;9;7;1;1;10;7;94;94;7;8;2;2;10;7;90;6;6;3;3;8;7;92;6;10;4;4;7;8;90;9;8;1;1;9;10;92;7;9;3;3;7;10,
freespinModeId_0_4,94;94;7;8;1;1;7;8;0;0;8;7;1;1;8;6;94;94;9;6;2;2;9;7;92;10;10;2;2;6;8;94;94;7;6;3;3;10;6;90;8;10;5;5;8;10;94;94;7;6;2;2;7;7;90;7;10;1;1;8;6;90;10;9;4;4;10;6;92;7;7;5;5;10;10;0;0;9;9;4;4;8;6;94;94;9;6;4;4;10;7;0;0;10;9;3;3;8;8,
freespinModeId_0_5,94;94;10;9;4;4;8;6;90;10;9;5;5;6;7;0;0;8;9;5;5;6;9;94;94;8;7;4;4;6;6;0;0;8;10;2;2;8;6;90;10;10;5;5;6;9;94;94;8;10;2;2;9;9;0;0;9;6;1;1;9;9;90;8;7;5;5;9;6;94;94;9;6;2;2;9;10;94;94;8;7;4;4;9;10;94;94;7;9;2;2;7;7;94;94;8;6;1;1;8;9,

respinCloumn_1,94;100;100;100;100;95;100;100;100;97;100;100;100;100;96;100;100;100;100;100;94;100;100;100;97;100;100;100;100;95;100;100;100;94;100;100;100;100;94;100;100;100;100;100;96;100;100;100;94;100;100;100;100;97;100;100;100;95;100;100;100;100;94;100;100;100;94;100;100;100;100;95;100;100;100;97;100;100;100;96;100;100;100;94;100;100;100;100;95;100;100;100;100;96;100;100;100;97;100;100,
respinCloumn_2,94;100;100;100;100;100;100;94;100;100;100;100;100;96;100;100;100;94;100;100;95;100;100;100;97;100;100;100;100;96;100;100;100;100;100;97;94;100;100;100;97;100;100;100;100;95;100;100;100;94;100;100;100;100;95;100;100;100;97;100;100;100;96;100;100;100;94;100;100;100;100;95;100;100;100;100;94;100;100;100;100;96;100;100;100;97;100;100;100;100;100;95;100;100;100;100;94;100;100;100,
respinCloumn_3,95;100;100;100;94;100;100;95;100;100;100;97;100;100;100;100;96;100;100;100;94;100;100;100;100;97;100;100;100;100;96;100;100;100;94;100;100;100;95;100;100;100;100;96;100;100;100;97;100;100;94;100;100;100;94;100;100;96;100;100;100;94;100;100;100;100;97;100;100;94;100;100;100;100;95;100;100;96;100;100;100;94;100;100;100;100;100;100;100;100;95;100;100;100;97;100;100;100;100;100,
respinCloumn_4,94;100;100;100;95;100;100;100;94;100;100;100;100;94;100;100;100;100;95;100;100;100;97;100;100;100;100;96;100;100;100;100;100;94;100;100;100;97;100;100;100;100;100;100;96;100;100;100;94;100;100;100;100;97;100;100;100;95;100;100;100;100;94;100;100;100;94;100;100;100;100;95;100;100;100;97;100;100;95;100;100;100;100;96;100;100;100;100;100;96;100;100;100;94;100;100;100;97;100;100,
respinCloumn_5,95;100;100;100;94;100;100;100;100;96;100;100;100;94;100;100;100;100;97;100;100;100;94;100;100;100;100;95;100;100;100;94;100;100;100;100;100;97;100;100;100;100;96;100;100;100;94;100;100;100;97;100;100;100;100;95;100;100;100;100;94;100;100;95;100;100;96;100;100;100;94;100;100;100;100;95;100;100;100;100;100;97;100;100;100;94;100;100;100;97;100;100;100;96;100;100;100;97;100;100,

BN_Base1_pro,100-0;25-0;10-0;5-500;3-1000;2-1000;1-1000;0.5-2000;0.2-2000

init_reel1,94;94;94;94
init_reel2,0;0;0;0
init_reel3,0;0;0;0
init_reel4,0;0;0;0
init_reel5,94;94;94;94

Socre_WingsOfPhoelinx_1,#Socre_WingsOfPhoelinx_1.png;0;0;0.5,
Socre_WingsOfPhoelinx_2,#Socre_WingsOfPhoelinx_2.png;0;0;0.5,
Socre_WingsOfPhoelinx_3,#Socre_WingsOfPhoelinx_3.png;0;0;0.5,
Socre_WingsOfPhoelinx_4,#Socre_WingsOfPhoelinx_4.png;0;0;0.5,
Socre_WingsOfPhoelinx_5,#Socre_WingsOfPhoelinx_5.png;0;0;0.5,
Socre_WingsOfPhoelinx_6,#Socre_WingsOfPhoelinx_6.png;0;0;0.5,
Socre_WingsOfPhoelinx_7,#Socre_WingsOfPhoelinx_7.png;0;0;0.5,
Socre_WingsOfPhoelinx_8,#Socre_WingsOfPhoelinx_8.png;0;0;0.5,
Socre_WingsOfPhoelinx_9,#Socre_WingsOfPhoelinx_9.png;0;0;0.5,
Socre_WingsOfPhoelinx_10,#Socre_WingsOfPhoelinx_10.png;0;0;0.5,
Socre_WingsOfPhoelinx_11,#Socre_WingsOfPhoelinx_11.png;0;0;0.5,
Socre_WingsOfPhoelinx_Scatter,#Socre_WingsOfPhoelinx_scatter.png;0;0;0.5,
Socre_WingsOfPhoelinx_Wild,#Socre_WingsOfPhoelinx_wild.png;0;0;0.5,
Socre_WingsOfPhoelinx_bonus_0,#Socre_WingsOfPhoelinx_bonus.png;0;0;0.5,
Socre_WingsOfPhoelinx_bonus_1,#Socre_WingsOfPhoelinx_bonusx2.png;0;0;0.5,
Socre_WingsOfPhoelinx_bonus_2,#Socre_WingsOfPhoelinx_bonusx5.png;0;0;0.5,
Socre_WingsOfPhoelinx_bonus_3,#Socre_WingsOfPhoelinx_bonuswin.png;0;0;0.5,

SpineSymbol_0,idleframe-false
SpineSymbol_1,idleframe-false
SpineSymbol_2,idleframe-false
SpineSymbol_4,idleframe-false
SpineSymbol_5,idleframe-false
SpineSymbol_3,idleframe-false
SpineSymbol_92,idleframe-false
SpineSymbol_90,idleframe-false
SpineSymbol_103,idleframe-false

SymbolBulingAnim_90,1-buling
SymbolBulingAnim_94,1-buling
SymbolBulingAnim_95,1-buling
SymbolBulingAnim_96,1-buling
SymbolBulingAnim_97,1-buling

isAllLineType,1
lineCount,1024
columnNum,5
rowNum,4
reelWidth,1080
reelHeight,555
scatterShowCol,1;2;3;4;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameWingsOfPhoelinx_run
reelBgEffectRes,WinFrameWingsOfPhoelinx_run_bg
quickStopDelayTime,0
reelMoveSpeed,1920
reelResTime,0.15
reelDownTime,0.1
reelResDis,20
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
musicBg,WingsOfPhoelinxSounds/music_WingsOfPhoelinx_base.mp3
musicFsBg,WingsOfPhoelinxSounds/music_WingsOfPhoelinx_freegame.mp3
musicReSpinBg,WingsOfPhoelinxSounds/music_WingsOfPhoelinx_Link.mp3
soundReelDown,WingsOfPhoelinxSounds/WingsOfPhoelinx_reelstop.mp3
soundScatterTip,WingsOfPhoelinxSounds/WingsOfPhoelinx_scatter_TriggerFs.mp3
reelRunSound,WingsOfPhoelinxSounds/WingsOfPhoelinx_longRun.mp3
showScoreImage,0
showLinesTime,2
bigSymbolTypeCounts,103-4
specialSymbolList,90,94
fsReelMoveSpeed,2112
fsReelRunDatas,17;21;25;29;33
