reel_cloumn1,96;96;96;96;96;96;92;92;92;92;16;16;10;10;10;10;19;19;12;12;16;16;10;10;10;10;10;18;18;18;18;12;12;13;13;92;92;92;92;11;11;11;11;10;10;10;10;16;16;14;14;14;19;19;19;16;16;16;10;10;10;10;96;96;96;96;96;96;92;92;92;92;16;16;10;10;10;10;19;19;12;12;16;16;10;10;10;10;10;18;18;18;18;12;12;13;13;92;92;92;92;11;11;11;11;10;10;10;10;16;16;14;14;14;19;19;19;16;16;16;10;10;10;10;
reel_cloumn2,96;96;96;96;96;96;14;14;14;92;92;92;92;13;13;13;10;10;10;10;16;16;10;10;10;10;10;15;15;15;11;11;16;16;92;92;92;92;18;18;18;17;17;17;17;17;16;16;10;10;10;10;12;12;12;13;13;13;10;10;10;10;96;96;96;96;96;96;14;14;14;92;92;92;92;13;13;13;10;10;10;10;16;16;10;10;10;10;10;15;15;15;11;11;16;16;92;92;92;92;18;18;18;17;17;17;17;17;16;16;10;10;10;10;12;12;12;13;13;13;10;10;10;10;
reel_cloumn3,96;96;96;96;96;96;18;18;92;92;92;92;14;14;14;14;16;16;18;18;18;18;11;11;11;11;15;15;15;94;17;17;92;92;92;92;15;15;16;16;17;17;17;12;12;94;13;13;17;17;17;15;15;15;17;17;17;11;10;10;10;10;96;96;96;96;96;96;18;18;92;92;92;92;14;14;14;14;16;16;18;18;18;18;11;11;11;11;15;15;15;94;17;17;92;92;92;92;15;15;16;16;17;17;17;12;12;94;13;13;17;17;17;15;15;15;17;17;17;11;10;10;10;10;
reel_cloumn4,96;96;96;96;96;96;11;11;11;92;92;92;92;13;13;13;10;10;10;10;19;19;19;15;15;15;15;11;19;19;19;14;14;92;92;92;92;15;15;13;13;14;14;12;12;10;10;10;10;12;12;14;14;14;92;92;92;92;19;19;12;12;96;96;96;96;96;96;11;11;11;92;92;92;92;13;13;13;10;10;10;10;19;19;19;15;15;15;15;11;19;19;19;14;14;92;92;92;92;15;15;13;13;14;14;12;12;10;10;10;10;12;12;14;14;14;92;92;92;92;19;19;12;12;
reel_cloumn5,96;96;96;96;96;96;92;92;92;92;18;18;18;10;10;10;10;16;16;18;18;17;17;14;14;94;19;19;92;92;92;92;13;13;13;10;10;17;17;15;15;13;13;94;14;14;16;16;92;92;92;92;11;11;17;17;10;10;10;10;11;11;96;96;96;96;96;96;92;92;92;92;18;18;18;10;10;10;10;16;16;18;18;17;17;14;14;19;19;19;92;92;92;92;13;13;13;10;10;17;17;15;15;13;13;94;14;14;16;16;92;92;92;92;11;11;17;17;10;10;10;10;11;11;

init_reel1,10;10;10;10
init_reel2,10;10;10;10
init_reel3,10;92;92;10
init_reel4,92;92;92;92
init_reel5,92;92;92;92

isAllLineType,0
lineCount,80
columnNum,5
rowNum,4
scatterShowCol,1;2;3;4;5
bInclScatter,1
bPlayScatterAction,1
reelRunDatas,16;19;22;25;28
reelEffectRes,WinFrameZeusVsHades_run_2
quickStopDelayTime,0
reelMoveSpeed,1600
reelResTime,0.15
reelDownTime,0.1
reelResDis,16
reelBeginJumpTime,0.2
reelBeginJumpHigh,20
randomSmallSymbolNum,9
showScoreImage,1
showLinesTime,2
specialSymbolList,92;94
fsReelMoveSpeed,1760
fsReelRunDatas,17;21;25;29;33
