reel_cloumn1,100;4;100;5;100;3;100;1;100;1;100;3;100;5;100;2,
reel_cloumn2,100;3;100;4;100;5;100;5;100;2;100;5;100;4;100;1,
reel_cloumn3,100;4;100;2;100;3;100;1;100;1;100;3;100;5;100;4,

Normal_Reel_1,100-1;4-1;100-1;5-1;100-1;3-1;100-1;1-1;100-1;1-1;100-1;3-1;100-1;5-1;100-1;2-1,
Normal_Reel_2,100-1;3-1;100-1;4-1;100-1;5-1;100-1;5-1;100-1;2-1;100-1;5-1;100-1;4-1;100-1;1-1,
Normal_Reel_3,100-1;4-1;100-1;2-1;100-1;3-1;100-1;1-1;100-1;1-1;100-1;3-1;100-1;5-1;100-1;4-1,

lineCount,1
columnNum,3
rowNum,5
reelWidth,75
reelHeight,500
reelRunDatas,60;81;102
bPlayScatterAction,1
reelMoveSpeed,1000
bInclScatter,1
bPlayScatterAction,1
reelResType,1
reelResTime,0.3
reelResDis,55
reelBeginJumpTime,0
randomSmallSymbolNum,5
showScoreImage,0
soundReelDown,LuckySpin2Sound/sound_LuckySpin_reel_stop.mp3
